asset,session_date,weekday,status,raw_rows,projected_exact_duplicates,projected_conflicting_ids,unorderable_rows,later_projected_versions_ignored,valid_regular_rows,available_by_close_minus_120s_rows,valid_distinct_expiries_full_regular_session,distinct_expiries_by_close_minus_120s,expiry_dates,expiry_count_monday,expiry_count_tuesday,expiry_count_wednesday,expiry_count_thursday,expiry_count_friday,expiry_count_saturday,expiry_count_sunday,zero_dte_trade_rows,zero_dte_distinct_contracts_day_union,first_mon_wed_available_ny
MSFT,2026-01-28,Wednesday,VERIFIED_LOCAL,122774,0,0,0,0,120644,116149,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,19,0,0,0,0,2026-01-28T09:30:00.284145-05:00
NVDA,2026-01-28,Wednesday,VERIFIED_LOCAL,236047,0,0,0,0,234162,231280,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,2,0,2,2,19,0,0,0,0,2026-01-28T09:30:00.162295-05:00
TSLA,2026-01-28,Wednesday,VERIFIED_LOCAL,284610,0,0,0,0,281242,274274,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,19,0,0,0,0,2026-01-28T09:30:00.164129-05:00
AAPL,2026-01-29,Thursday,VERIFIED_LOCAL,176692,0,0,0,0,174105,167668,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,2,0,2,2,20,0,0,0,0,2026-01-29T09:30:01.113465-05:00
AMZN,2026-01-29,Thursday,VERIFIED_LOCAL,95367,0,0,0,0,93403,92031,27,27,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,21,0,0,0,0,2026-01-29T09:30:00.358201-05:00
META,2026-01-29,Thursday,VERIFIED_LOCAL,356964,0,0,0,0,348448,346416,27,27,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,21,0,0,0,0,2026-01-29T09:30:00.624282-05:00
MSFT,2026-01-29,Thursday,VERIFIED_LOCAL,396517,0,0,0,0,387063,382596,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,0,0,2026-01-29T09:30:00.379609-05:00
NVDA,2026-01-29,Thursday,VERIFIED_LOCAL,277097,0,0,0,0,273353,268594,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,2,0,2,2,20,0,0,0,0,2026-01-29T09:30:00.093861-05:00
TSLA,2026-01-29,Thursday,VERIFIED_LOCAL,513294,0,0,0,0,507025,503484,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,0,0,2026-01-29T09:30:00.107313-05:00
AAPL,2026-01-30,Friday,VERIFIED_LOCAL,279303,0,0,0,0,237228,235086,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,2,0,2,2,20,0,0,74950,65,2026-01-30T09:30:00.457063-05:00
AMZN,2026-01-30,Friday,VERIFIED_LOCAL,104751,0,0,0,0,77631,76859,27,27,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,21,0,0,13634,58,2026-01-30T09:30:00.094611-05:00
META,2026-01-30,Friday,VERIFIED_LOCAL,162274,0,0,0,0,118790,117772,27,27,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,21,0,0,32983,181,2026-01-30T09:30:00.427723-05:00
MSFT,2026-01-30,Friday,VERIFIED_LOCAL,216161,0,0,0,0,171753,169823,27,27,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-03-19;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,21,0,0,29517,110,2026-01-30T09:30:00.268356-05:00
NVDA,2026-01-30,Friday,VERIFIED_LOCAL,315830,0,0,0,0,230874,228702,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-13;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,2,0,2,2,20,0,0,51853,62,2026-01-30T09:30:00.187213-05:00
