asset,session_date,weekday,status,raw_rows,projected_exact_duplicates,projected_conflicting_ids,unorderable_rows,later_projected_versions_ignored,valid_regular_rows,available_by_close_minus_120s_rows,valid_distinct_expiries_full_regular_session,distinct_expiries_by_close_minus_120s,expiry_dates,expiry_count_monday,expiry_count_tuesday,expiry_count_wednesday,expiry_count_thursday,expiry_count_friday,expiry_count_saturday,expiry_count_sunday,zero_dte_trade_rows,zero_dte_distinct_contracts_day_union,first_mon_wed_available_ny
TSLA,2026-01-16,Friday,VERIFIED_LOCAL,472860,0,0,0,0,461761,459086,22,22,2026-01-16;2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,269712,133,
AAPL,2026-01-20,Tuesday,VERIFIED_LOCAL,160700,0,0,0,0,158164,156225,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,19,0,0,0,0,
AMZN,2026-01-20,Tuesday,VERIFIED_LOCAL,97845,0,0,0,0,96061,95281,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
META,2026-01-20,Tuesday,VERIFIED_LOCAL,90040,0,0,0,0,88152,87442,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16,0,0,0,2,19,0,0,0,0,
MSFT,2026-01-20,Tuesday,VERIFIED_LOCAL,64194,0,0,0,0,62576,62159,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,19,0,0,0,0,
NVDA,2026-01-20,Tuesday,VERIFIED_LOCAL,289086,0,0,0,0,285791,282978,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,19,0,0,0,0,
TSLA,2026-01-20,Tuesday,VERIFIED_LOCAL,334755,0,0,0,0,331484,328648,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,19,0,0,0,0,
AAPL,2026-01-21,Wednesday,VERIFIED_LOCAL,133684,0,0,0,0,131250,130153,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,19,0,0,0,0,
AMZN,2026-01-21,Wednesday,VERIFIED_LOCAL,98213,0,0,0,0,95710,95134,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
META,2026-01-21,Wednesday,VERIFIED_LOCAL,96726,0,0,0,0,94137,93692,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
MSFT,2026-01-21,Wednesday,VERIFIED_LOCAL,119325,0,0,0,0,116519,115770,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,19,0,0,0,0,
NVDA,2026-01-21,Wednesday,VERIFIED_LOCAL,283916,0,0,0,0,281054,279287,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,19,0,0,0,0,
TSLA,2026-01-21,Wednesday,VERIFIED_LOCAL,377749,0,0,0,0,373681,371362,21,21,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,19,0,0,0,0,
AAPL,2026-01-22,Thursday,VERIFIED_LOCAL,105852,0,0,0,0,103832,102776,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,20,0,0,0,0,
AMZN,2026-01-22,Thursday,VERIFIED_LOCAL,98341,0,0,0,0,95652,94902,23,23,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,21,0,0,0,0,
META,2026-01-22,Thursday,VERIFIED_LOCAL,198840,0,0,0,0,194698,192904,23,23,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,21,0,0,0,0,
MSFT,2026-01-22,Thursday,VERIFIED_LOCAL,84220,0,0,0,0,82061,81363,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
NVDA,2026-01-22,Thursday,VERIFIED_LOCAL,208375,0,0,0,0,205474,203690,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,20,0,0,0,0,
TSLA,2026-01-22,Thursday,VERIFIED_LOCAL,491292,0,0,0,0,485845,481140,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,0,0,
AAPL,2026-01-23,Friday,VERIFIED_LOCAL,127953,0,0,0,0,82967,81730,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,0,0,0,2,20,0,0,3708,48,
AMZN,2026-01-23,Friday,VERIFIED_LOCAL,130941,0,0,0,0,87288,86506,23,23,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,21,0,0,5382,51,
META,2026-01-23,Friday,VERIFIED_LOCAL,203976,0,0,0,0,99255,98380,23,23,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,21,0,0,13302,137,
MSFT,2026-01-23,Friday,VERIFIED_LOCAL,183849,0,0,0,0,104025,103209,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,4676,83,
NVDA,2026-01-23,Friday,VERIFIED_LOCAL,272866,0,0,0,0,189355,186744,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,0,0,0,2,20,0,0,33885,62,
TSLA,2026-01-23,Friday,VERIFIED_LOCAL,508735,0,0,0,0,500795,498060,22,22,2026-01-23;2026-01-30;2026-02-06;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,0,0,0,2,20,0,0,332501,108,
AAPL,2026-01-26,Monday,VERIFIED_LOCAL,153453,0,0,0,0,151231,150143,24,24,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,2,0,1,2,19,0,0,0,0,2026-01-26T09:30:08.751944-05:00
AMZN,2026-01-26,Monday,VERIFIED_LOCAL,72020,0,0,0,0,70732,70036,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,1,2,20,0,0,0,0,2026-01-26T09:30:03.686235-05:00
META,2026-01-26,Monday,VERIFIED_LOCAL,101208,0,0,0,0,98915,98217,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,1,2,20,0,0,0,0,2026-01-26T09:30:02.380014-05:00
MSFT,2026-01-26,Monday,VERIFIED_LOCAL,81532,0,0,0,0,79804,79281,24,24,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,1,2,19,0,0,0,0,2026-01-26T09:30:02.817156-05:00
NVDA,2026-01-26,Monday,VERIFIED_LOCAL,189048,0,0,0,0,187218,185654,24,24,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,2,0,1,2,19,0,0,0,0,2026-01-26T09:30:01.969666-05:00
TSLA,2026-01-26,Monday,VERIFIED_LOCAL,244406,0,0,0,0,241551,238946,24,24,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,1,2,19,0,0,0,0,2026-01-26T09:30:03.138872-05:00
AAPL,2026-01-27,Tuesday,VERIFIED_LOCAL,144618,0,0,0,0,142527,141368,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,2,0,2,2,19,0,0,0,0,2026-01-27T09:30:00.370347-05:00
AMZN,2026-01-27,Tuesday,VERIFIED_LOCAL,121228,0,0,0,0,119388,118044,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,0,0,2026-01-27T09:30:00.447764-05:00
META,2026-01-27,Tuesday,VERIFIED_LOCAL,83034,0,0,0,0,81175,80475,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,0,0,2026-01-27T09:30:00.211433-05:00
MSFT,2026-01-27,Tuesday,VERIFIED_LOCAL,92899,0,0,0,0,91313,90649,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,19,0,0,0,0,2026-01-27T09:30:01.033556-05:00
NVDA,2026-01-27,Tuesday,VERIFIED_LOCAL,205685,0,0,0,0,204098,202223,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-12-15,2,0,2,2,19,0,0,0,0,2026-01-27T09:30:00.179214-05:00
TSLA,2026-01-27,Tuesday,VERIFIED_LOCAL,191842,0,0,0,0,189645,187512,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,19,0,0,0,0,2026-01-27T09:30:00.212099-05:00
AAPL,2026-01-28,Wednesday,VERIFIED_LOCAL,90182,0,0,0,0,88762,87825,25,25,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-12-17;2028-01-21;2028-03-17;2028-12-15,2,0,2,2,19,0,0,0,0,2026-01-28T09:30:00.538228-05:00
AMZN,2026-01-28,Wednesday,VERIFIED_LOCAL,109434,0,0,0,0,107758,107160,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-07-16;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,0,0,2026-01-28T09:30:00.663804-05:00
META,2026-01-28,Wednesday,VERIFIED_LOCAL,137870,0,0,0,0,134711,130265,26,26,2026-01-30;2026-02-02;2026-02-04;2026-02-06;2026-02-09;2026-02-11;2026-02-13;2026-02-20;2026-02-27;2026-03-06;2026-03-20;2026-04-17;2026-05-15;2026-06-18;2026-07-17;2026-08-21;2026-09-18;2026-11-20;2026-12-18;2027-01-15;2027-06-17;2027-09-17;2027-12-17;2028-01-21;2028-06-16;2028-12-15,2,0,2,2,20,0,0,0,0,2026-01-28T09:30:00.711685-05:00
