asset,session_date,N_origins,b2_5m_window_empty_count,b2_30m_window_empty_count,b2_5m_window_empty_unknown,b2_30m_window_empty_unknown
TSLA,2024-09-17,65,0,0,0,0
AAPL,2024-09-18,65,0,0,0,0
AMZN,2024-09-18,65,0,0,0,0
META,2024-09-18,65,0,0,0,0
MSFT,2024-09-18,65,0,0,0,0
NVDA,2024-09-18,65,0,0,0,0
TSLA,2024-09-18,65,0,0,0,0
AAPL,2024-09-19,65,0,0,0,0
AMZN,2024-09-19,65,0,0,0,0
META,2024-09-19,65,0,0,0,0
MSFT,2024-09-19,65,0,0,0,0
NVDA,2024-09-19,65,0,0,0,0
TSLA,2024-09-19,65,0,0,0,0
AAPL,2024-09-20,65,0,0,0,0
AMZN,2024-09-20,65,0,0,0,0
META,2024-09-20,65,0,0,0,0
MSFT,2024-09-20,65,0,0,0,0
NVDA,2024-09-20,65,0,0,0,0
TSLA,2024-09-20,65,0,0,0,0
AAPL,2024-09-23,65,0,0,0,0
AMZN,2024-09-23,65,0,0,0,0
META,2024-09-23,65,0,0,0,0
MSFT,2024-09-23,65,0,0,0,0
NVDA,2024-09-23,65,0,0,0,0
TSLA,2024-09-23,65,0,0,0,0
AAPL,2024-09-24,65,0,0,0,0
AMZN,2024-09-24,65,0,0,0,0
META,2024-09-24,65,0,0,0,0
MSFT,2024-09-24,65,0,0,0,0
NVDA,2024-09-24,65,0,0,0,0
TSLA,2024-09-24,65,0,0,0,0
AAPL,2024-09-25,65,0,0,0,0
AMZN,2024-09-25,65,0,0,0,0
META,2024-09-25,65,0,0,0,0
MSFT,2024-09-25,65,0,0,0,0
NVDA,2024-09-25,65,0,0,0,0
TSLA,2024-09-25,65,0,0,0,0
AAPL,2024-09-26,65,0,0,0,0
AMZN,2024-09-26,65,0,0,0,0
META,2024-09-26,65,0,0,0,0
MSFT,2024-09-26,65,0,0,0,0
NVDA,2024-09-26,65,0,0,0,0
TSLA,2024-09-26,65,0,0,0,0
AAPL,2024-09-27,65,0,0,0,0
AMZN,2024-09-27,65,0,0,0,0
META,2024-09-27,65,0,0,0,0
MSFT,2024-09-27,65,0,0,0,0
NVDA,2024-09-27,65,0,0,0,0
TSLA,2024-09-27,65,0,0,0,0
AAPL,2024-09-30,65,0,0,0,0
AMZN,2024-09-30,65,0,0,0,0
META,2024-09-30,65,0,0,0,0
MSFT,2024-09-30,65,0,0,0,0
NVDA,2024-09-30,65,0,0,0,0
TSLA,2024-09-30,65,0,0,0,0
AAPL,2024-10-01,65,0,0,0,0
AMZN,2024-10-01,65,0,0,0,0
META,2024-10-01,65,0,0,0,0
