version,target,horizon_minutes,window,family,family_group,contrast,N_sessions,N_origins,N_asset_sessions,delta_qlike,ci_low_qlike,ci_high_qlike,baseline_qlike_observed,percent_reduction,ci_low_rescaled_percent,ci_high_rescaled_percent,interval_definition,p_raw,p_raw_sidedness,p_for_decision,hypothesis_status,p_bilateral,p_holm_bilateral,source_summary,source_summary_sha256,source_session_losses,source_session_losses_sha256
v4,RV15,15,primary,log_ridge_harq,linear,B1_over_B0,419,160832,2514,0.0016163117029221244,0.0002529862671932415,0.003453534376546728,0.1836603717937846,0.8800546830738928,0.13774679029687284,1.8803916940908652,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.039,one_sided,0.039,REJECTED,0.0459,0.0918,artifacts/rp4_v4_b2_rv15/summary.json,451e53869bb5f5058a635302bb08ad920ce11b8771fd2c6780545255b1ac25f4,artifacts/rp4_v4_b2_rv15/session_losses.csv,28174eb5a4f032d0b31b6a7b65e76e05710168278419d87bf31a92ebec2d9ac1
v4,RV15,15,primary,log_ridge_harq,linear,B2_over_B1,419,160832,2514,0.0011337596590923558,0.00033503697025205506,0.0019321615865300122,0.1820440600908625,0.6227940963997779,0.18404169303015444,1.0613702998964234,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0032,one_sided,0.0032,REJECTED,0.0062,0.0248,artifacts/rp4_v4_b2_rv15/summary.json,451e53869bb5f5058a635302bb08ad920ce11b8771fd2c6780545255b1ac25f4,artifacts/rp4_v4_b2_rv15/session_losses.csv,28174eb5a4f032d0b31b6a7b65e76e05710168278419d87bf31a92ebec2d9ac1
v4,RV15,15,primary,lightgbm_qlike,tree,B1_over_B0,419,160832,2514,0.0021966192830256415,0.0006109899462962658,0.004102668666212466,0.18775025839388218,1.169968713660752,0.325426953615407,2.185173379418449,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0135,one_sided,0.0135,REJECTED,0.0149,0.044700000000000004,artifacts/rp4_v4_b2_rv15/summary.json,451e53869bb5f5058a635302bb08ad920ce11b8771fd2c6780545255b1ac25f4,artifacts/rp4_v4_b2_rv15/session_losses.csv,28174eb5a4f032d0b31b6a7b65e76e05710168278419d87bf31a92ebec2d9ac1
v4,RV15,15,primary,lightgbm_qlike,tree,B2_over_B1,419,160832,2514,-0.00021290307176726115,-0.002044124778251595,0.0011041694991075965,0.18555363911085654,-0.1147393674343757,-1.1016355098432535,0.5950675526487116,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.628,one_sided,0.628,NOT_REJECTED,0.8048,0.8048,artifacts/rp4_v4_b2_rv15/summary.json,451e53869bb5f5058a635302bb08ad920ce11b8771fd2c6780545255b1ac25f4,artifacts/rp4_v4_b2_rv15/session_losses.csv,28174eb5a4f032d0b31b6a7b65e76e05710168278419d87bf31a92ebec2d9ac1
v4,RV15,15,confirmation,log_ridge_harq,linear,B1_over_B0,25,9750,150,0.00041622522194090185,-0.0022086272919664665,0.0028780554487611836,0.23909640043195743,0.17408259647110502,-0.9237392482598258,1.2037217806548397,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.3908,one_sided,0.3908,NOT_REJECTED,0.766,1.0,artifacts/rp4_v4_b3_rv15/summary.json,1a544479c861bfcb8201cd6ae95702f7cf3de08f4d824d1dc488ec159a36ab9c,artifacts/rp4_v4_b3_rv15/session_losses.csv,d3efc32f62b82feb581d38ec410290c2a421fd80642d3d69024d9ac3c997f231
v4,RV15,15,confirmation,log_ridge_harq,linear,B2_over_B1,25,9750,150,0.004767313254824691,-0.0011087291167046942,0.014742152610369255,0.23868017521001653,1.997364569818124,-0.46452501374658156,6.176529993493394,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.1758,one_sided,,NOT_TESTED,0.36,1.0,artifacts/rp4_v4_b3_rv15/summary.json,1a544479c861bfcb8201cd6ae95702f7cf3de08f4d824d1dc488ec159a36ab9c,artifacts/rp4_v4_b3_rv15/session_losses.csv,d3efc32f62b82feb581d38ec410290c2a421fd80642d3d69024d9ac3c997f231
v4,RV15,15,confirmation,lightgbm_qlike,tree,B1_over_B0,25,9750,150,0.007482146159045653,0.001644364167826952,0.01680713671969026,0.2365800667696859,3.1626274610572453,0.6950560925438254,7.104206600825862,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0568,one_sided,0.0568,NOT_REJECTED,0.0568,0.2272,artifacts/rp4_v4_b3_rv15/summary.json,1a544479c861bfcb8201cd6ae95702f7cf3de08f4d824d1dc488ec159a36ab9c,artifacts/rp4_v4_b3_rv15/session_losses.csv,d3efc32f62b82feb581d38ec410290c2a421fd80642d3d69024d9ac3c997f231
v4,RV15,15,confirmation,lightgbm_qlike,tree,B2_over_B1,25,9750,150,-0.0022724768497439274,-0.00907196547290959,0.0021952091469455196,0.22909792061064027,-0.9919238217819005,-3.9598637336947746,0.9581968885157855,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.7554,one_sided,,NOT_TESTED,0.5323,1.0,artifacts/rp4_v4_b3_rv15/summary.json,1a544479c861bfcb8201cd6ae95702f7cf3de08f4d824d1dc488ec159a36ab9c,artifacts/rp4_v4_b3_rv15/session_losses.csv,d3efc32f62b82feb581d38ec410290c2a421fd80642d3d69024d9ac3c997f231
v4,RV5,5,primary,log_ridge_harq,linear,B1_over_B0,419,160832,2514,0.0013164097944550013,0.00046645265124926964,0.0023758315629989657,0.3489368048450961,0.3772630964049197,0.1336782605825552,0.6808773193339898,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0092,one_sided,0.0092,REJECTED,0.0099,0.0396,artifacts/rp4_v4_b2_rv5/summary.json,4c90d85e81933f9b96a5f03f5faa3673ff31043f2442ac3e45893a5c7e59c8fe,artifacts/rp4_v4_b2_rv5/session_losses.csv,f342a2fa7815a27d83a2fb31347683f51e8428278881407474432e22667bf8ba
v4,RV5,5,primary,log_ridge_harq,linear,B2_over_B1,419,160832,2514,0.0008910156531213365,7.104694395886746e-05,0.0016978277359952772,0.3476203950506411,0.25631857791069307,0.020438082739224032,0.4884143048476597,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0172,one_sided,0.0172,REJECTED,0.0343,0.10289999999999999,artifacts/rp4_v4_b2_rv5/summary.json,4c90d85e81933f9b96a5f03f5faa3673ff31043f2442ac3e45893a5c7e59c8fe,artifacts/rp4_v4_b2_rv5/session_losses.csv,f342a2fa7815a27d83a2fb31347683f51e8428278881407474432e22667bf8ba
v4,RV5,5,primary,lightgbm_qlike,tree,B1_over_B0,419,160832,2514,0.0018929362037624598,0.00017647987108783484,0.004373435691765242,0.35330762069044525,0.535775650710059,0.04995076832561724,1.2378548991438485,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0608,one_sided,0.0608,NOT_REJECTED,0.0731,0.1462,artifacts/rp4_v4_b2_rv5/summary.json,4c90d85e81933f9b96a5f03f5faa3673ff31043f2442ac3e45893a5c7e59c8fe,artifacts/rp4_v4_b2_rv5/session_losses.csv,f342a2fa7815a27d83a2fb31347683f51e8428278881407474432e22667bf8ba
v4,RV5,5,primary,lightgbm_qlike,tree,B2_over_B1,419,160832,2514,0.0005639718438127556,-0.0009254245591697613,0.001956639388860833,0.3514146844866828,0.1604861346749236,-0.2633425977976829,0.5567893076861397,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.1927,one_sided,,NOT_TESTED,0.4014,0.4014,artifacts/rp4_v4_b2_rv5/summary.json,4c90d85e81933f9b96a5f03f5faa3673ff31043f2442ac3e45893a5c7e59c8fe,artifacts/rp4_v4_b2_rv5/session_losses.csv,f342a2fa7815a27d83a2fb31347683f51e8428278881407474432e22667bf8ba
v4,RV5,5,confirmation,log_ridge_harq,linear,B1_over_B0,25,9750,150,3.600068890998731e-06,-0.002583890412819075,0.0025449240579097795,0.4158056519100697,0.0008658056653297615,-0.6214178188655112,0.6120465285210204,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.5015,one_sided,0.5015,NOT_REJECTED,0.9984,0.9984,artifacts/rp4_v4_b3_rv5/summary.json,d48b8054b3bd33fda7627fb454728ebb05bbe0956e59f9732b7a6f1e835340bb,artifacts/rp4_v4_b3_rv5/session_losses.csv,972249af8d31d26126650589de7e5e9b95216d29e8a2add494de7be7b7cf75ee
v4,RV5,5,confirmation,log_ridge_harq,linear,B2_over_B1,25,9750,150,0.005107753949557885,-0.0007692214554592633,0.014481553505870493,0.4158020518411787,1.2284099914708602,-0.184997032134194,3.4827999144655304,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.1086,one_sided,,NOT_TESTED,0.1974,0.5922,artifacts/rp4_v4_b3_rv5/summary.json,d48b8054b3bd33fda7627fb454728ebb05bbe0956e59f9732b7a6f1e835340bb,artifacts/rp4_v4_b3_rv5/session_losses.csv,972249af8d31d26126650589de7e5e9b95216d29e8a2add494de7be7b7cf75ee
v4,RV5,5,confirmation,lightgbm_qlike,tree,B1_over_B0,25,9750,150,0.005499485139160578,0.0013003445470713632,0.010864310014167666,0.4133320293325866,1.3305247957775443,0.31460047970902444,2.628470392606745,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.0224,one_sided,0.0224,REJECTED,0.0243,0.0972,artifacts/rp4_v4_b3_rv5/summary.json,d48b8054b3bd33fda7627fb454728ebb05bbe0956e59f9732b7a6f1e835340bb,artifacts/rp4_v4_b3_rv5/session_losses.csv,972249af8d31d26126650589de7e5e9b95216d29e8a2add494de7be7b7cf75ee
v4,RV5,5,confirmation,lightgbm_qlike,tree,B2_over_B1,25,9750,150,-0.004162569606580859,-0.014423982126994944,0.0021786846598025236,0.407832544193426,-1.0206565576597642,-3.536741324928195,0.5342105947212543,saved_difference_CI95_scaled_by_100_over_observed_baseline;not_bootstrap_ratio_CI,0.7716,one_sided,0.7716,NOT_REJECTED,0.4879,0.9758,artifacts/rp4_v4_b3_rv5/summary.json,d48b8054b3bd33fda7627fb454728ebb05bbe0956e59f9732b7a6f1e835340bb,artifacts/rp4_v4_b3_rv5/session_losses.csv,972249af8d31d26126650589de7e5e9b95216d29e8a2add494de7be7b7cf75ee
