horizon_minutes,window,N_asset_sessions,N_origins,N_sessions,contrast,estimate,family,qlike_reduction_percent,subset
5,primary,419,26729,419,B2_over_B1,-1.7963241809380777e-05,log_ridge_harq,-0.005173488564122403,asset_MSFT
5,primary,419,26729,419,B1_over_B0,0.0005093652907024765,lightgbm_qlike,0.1440827447490261,asset_MSFT
5,primary,419,26729,419,B2_over_B1,-0.0005063585043634184,lightgbm_qlike,-0.14343889414596211,asset_MSFT
5,primary,419,26764,419,B1_over_B0,0.00045840681558599063,log_ridge_harq,0.13731690509269776,asset_NVDA
5,primary,419,26764,419,B2_over_B1,0.002648147285710646,log_ridge_harq,0.7943499018702125,asset_NVDA
5,primary,419,26764,419,B1_over_B0,0.002394108020048251,lightgbm_qlike,0.7115621088100317,asset_NVDA
5,primary,419,26764,419,B2_over_B1,0.0015120347883117544,lightgbm_qlike,0.45261837118731846,asset_NVDA
5,primary,419,26845,419,B1_over_B0,6.573282760522327e-05,log_ridge_harq,0.01965778527615703,asset_TSLA
5,primary,419,26845,419,B2_over_B1,0.001476809494039077,log_ridge_harq,0.44173532343916155,asset_TSLA
5,primary,419,26845,419,B1_over_B0,0.00453778982644398,lightgbm_qlike,1.3181831708901177,asset_TSLA
5,primary,419,26845,419,B2_over_B1,0.0016882492122214509,lightgbm_qlike,0.4969707228817551,asset_TSLA
5,primary,180,11700,30,B1_over_B0,1.7178642468568262e-05,log_ridge_harq,0.005027355010414173,last30sessions
5,primary,180,11700,30,B2_over_B1,0.0002006130517894796,log_ridge_harq,0.05871265666098321,last30sessions
5,primary,180,11700,30,B1_over_B0,-0.00036534369743464835,lightgbm_qlike,-0.10702882035508716,last30sessions
5,primary,180,11700,30,B2_over_B1,0.0006655121420525915,lightgbm_qlike,0.19475585856755603,last30sessions
5,primary,834,53528,139,B1_over_B0,0.0019115352201598142,log_ridge_harq,0.5666387758096065,chronological_block_1
5,primary,834,53528,139,B2_over_B1,0.0012433073126288771,log_ridge_harq,0.370655418846092,chronological_block_1
5,primary,834,53528,139,B1_over_B0,0.004254822199351599,lightgbm_qlike,1.2078673430790927,chronological_block_1
5,primary,834,53528,139,B2_over_B1,0.00010527905632617303,lightgbm_qlike,0.03025223362935026,chronological_block_1
5,primary,1680,107304,280,B1_over_B0,0.0010209725295515404,log_ridge_harq,0.287848738827127,leave_block_1_out
5,primary,1680,107304,280,B2_over_B1,0.0007161280078658075,log_ridge_harq,0.20248499570275116,leave_block_1_out
5,primary,1680,107304,280,B1_over_B0,0.0007204285130949942,lightgbm_qlike,0.20360971978971357,leave_block_1_out
5,primary,1680,107304,280,B2_over_B1,0.0007916800490293088,lightgbm_qlike,0.2242035480019866,leave_block_1_out
5,primary,834,52674,139,B1_over_B0,0.0015819970430718906,log_ridge_harq,0.4588535145923122,chronological_block_2
5,primary,834,52674,139,B2_over_B1,0.00042935148053750173,log_ridge_harq,0.1251061678741493,chronological_block_2
5,primary,834,52674,139,B1_over_B0,0.0009311049714168788,lightgbm_qlike,0.26965272915365995,chronological_block_2
5,primary,834,52674,139,B2_over_B1,0.0013137953634328793,lightgbm_qlike,0.3815105641577718,chronological_block_2
5,primary,1680,108158,280,B1_over_B0,0.001184564696034474,log_ridge_harq,0.33747850809579455,leave_block_2_out
5,primary,1680,108158,280,B2_over_B1,0.001120198938796883,log_ridge_harq,0.320221598858062,leave_block_2_out
5,primary,1680,108158,280,B1_over_B0,0.0023704167083911584,lightgbm_qlike,0.6634546315348484,leave_block_2_out
5,primary,1680,108158,280,B2_over_B1,0.000191738025144194,lightgbm_qlike,0.05402387452198412,leave_block_2_out
5,primary,846,54630,141,B1_over_B0,0.00046790581054920947,log_ridge_harq,0.12838017928181808,chronological_block_3
5,primary,846,54630,141,B2_over_B1,0.0009988367830334282,log_ridge_harq,0.2744049699498799,chronological_block_3
5,primary,846,54630,141,B1_over_B0,0.0005127403733308669,lightgbm_qlike,0.14154812086847493,chronological_block_3
5,primary,846,54630,141,B2_over_B1,0.0002769706256101863,lightgbm_qlike,0.07656944092990124,chronological_block_3
5,primary,1668,106202,278,B1_over_B0,0.0017467661316158524,log_ridge_harq,0.5121594850325812,leave_block_3_out
5,primary,1668,106202,278,B2_over_B1,0.0008363293965831894,log_ridge_harq,0.24647780376150336,leave_block_3_out
5,primary,1668,106202,278,B1_over_B0,0.0025929635853842387,lightgbm_qlike,0.743441481874806,leave_block_3_out
5,primary,1668,106202,278,B2_over_B1,0.0007095372098795261,lightgbm_qlike,0.20495868920564442,leave_block_3_out
5,confirmation,25,1625,25,B1_over_B0,0.002603819311131177,log_ridge_harq,0.7332492880696756,asset_AAPL
5,confirmation,25,1625,25,B2_over_B1,0.002516304593152716,log_ridge_harq,0.7138388993207659,asset_AAPL
5,confirmation,25,1625,25,B1_over_B0,0.0037316352812123443,lightgbm_qlike,1.0269479844586606,asset_AAPL
5,confirmation,25,1625,25,B2_over_B1,0.0004900735115274246,lightgbm_qlike,0.1362678874541101,asset_AAPL
5,confirmation,25,1625,25,B1_over_B0,-0.0032626108197766203,log_ridge_harq,-0.47140450777161375,asset_AMZN
5,confirmation,25,1625,25,B2_over_B1,0.024794883972668914,log_ridge_harq,3.56572680649333,asset_AMZN
5,confirmation,25,1625,25,B1_over_B0,0.01998698491914199,lightgbm_qlike,2.958059050855735,asset_AMZN
