horizon_minutes,window,B1_over_B0,B1_over_B0_sign,B2_over_B1,B2_over_B1_sign,family,qlike_B0,qlike_B1,qlike_B2,rank,ranked_information_set,session_date
15,primary,0.03260289704300523,1,-0.02688722028509738,-1,lightgbm_qlike,0.6561353718168604,0.6235324747738552,0.6504196950589526,6,B0,2025-10-10
15,primary,0.023502146201463736,1,-0.028006621622877592,-1,lightgbm_qlike,0.634018107855075,0.6105159616536112,0.6385225832764888,7,B0,2026-01-21
15,primary,0.005401016537883496,1,-0.007189108002922273,-1,lightgbm_qlike,0.5998089961642906,0.5944079796264071,0.6015970876293294,8,B0,2026-06-11
15,primary,0.09963612086461204,1,-0.01314964245977479,-1,lightgbm_qlike,0.5470517221877867,0.4474156013231747,0.4605652437829495,9,B0,2025-09-17
15,primary,-0.08502475565502438,-1,-0.002036743497914273,-1,lightgbm_qlike,0.48318206149540316,0.5682068171504275,0.5702435606483418,10,B0,2026-06-17
15,primary,0.2418694336084275,1,0.07869818269920414,1,lightgbm_qlike,2.2217683538978785,1.979898920289451,1.9012007375902469,1,B1,2025-04-09
15,primary,0.12124964709299646,1,-0.34441720048388613,-1,lightgbm_qlike,1.580477939332902,1.4592282922399056,1.8036454927237917,2,B1,2025-04-07
15,primary,0.0018159810974935908,1,0.015612551683400144,1,lightgbm_qlike,0.8628783789096142,0.8610623978121206,0.8454498461287204,3,B1,2026-06-05
15,primary,-0.06352429286673944,-1,0.014626429412927244,1,lightgbm_qlike,0.7906983502398627,0.8542226431066021,0.8395962136936749,4,B1,2024-11-14
15,primary,0.02070389908477055,1,-0.003975001130692268,-1,lightgbm_qlike,0.7493728683234909,0.7286689692387204,0.7326439703694126,5,B1,2026-03-16
15,primary,0.03260289704300523,1,-0.02688722028509738,-1,lightgbm_qlike,0.6561353718168604,0.6235324747738552,0.6504196950589526,6,B1,2025-10-10
15,primary,0.023502146201463736,1,-0.028006621622877592,-1,lightgbm_qlike,0.634018107855075,0.6105159616536112,0.6385225832764888,7,B1,2026-01-21
15,primary,0.005401016537883496,1,-0.007189108002922273,-1,lightgbm_qlike,0.5998089961642906,0.5944079796264071,0.6015970876293294,8,B1,2026-06-11
15,primary,-0.08502475565502438,-1,-0.002036743497914273,-1,lightgbm_qlike,0.48318206149540316,0.5682068171504275,0.5702435606483418,9,B1,2026-06-17
15,primary,-0.022651255155866634,-1,0.026269532033922294,1,lightgbm_qlike,0.48302419347848247,0.5056754486343491,0.4794059166004268,10,B1,2024-12-18
15,primary,0.2418694336084275,1,0.07869818269920414,1,lightgbm_qlike,2.2217683538978785,1.979898920289451,1.9012007375902469,1,B2,2025-04-09
15,primary,0.12124964709299646,1,-0.34441720048388613,-1,lightgbm_qlike,1.580477939332902,1.4592282922399056,1.8036454927237917,2,B2,2025-04-07
15,primary,0.0018159810974935908,1,0.015612551683400144,1,lightgbm_qlike,0.8628783789096142,0.8610623978121206,0.8454498461287204,3,B2,2026-06-05
15,primary,-0.06352429286673944,-1,0.014626429412927244,1,lightgbm_qlike,0.7906983502398627,0.8542226431066021,0.8395962136936749,4,B2,2024-11-14
15,primary,0.02070389908477055,1,-0.003975001130692268,-1,lightgbm_qlike,0.7493728683234909,0.7286689692387204,0.7326439703694126,5,B2,2026-03-16
15,primary,0.03260289704300523,1,-0.02688722028509738,-1,lightgbm_qlike,0.6561353718168604,0.6235324747738552,0.6504196950589526,6,B2,2025-10-10
15,primary,0.023502146201463736,1,-0.028006621622877592,-1,lightgbm_qlike,0.634018107855075,0.6105159616536112,0.6385225832764888,7,B2,2026-01-21
15,primary,0.005401016537883496,1,-0.007189108002922273,-1,lightgbm_qlike,0.5998089961642906,0.5944079796264071,0.6015970876293294,8,B2,2026-06-11
15,primary,-0.08502475565502438,-1,-0.002036743497914273,-1,lightgbm_qlike,0.48318206149540316,0.5682068171504275,0.5702435606483418,9,B2,2026-06-17
15,primary,-0.022651255155866634,-1,0.026269532033922294,1,lightgbm_qlike,0.48302419347848247,0.5056754486343491,0.4794059166004268,10,B2,2024-12-18
15,confirmation,-0.006979076091990333,-1,0.11624790425816478,1,log_ridge_harq,1.7215321695790584,1.7285112456710487,1.612263341412884,1,B0,2026-08-31
15,confirmation,-0.022869477571536734,-1,-0.015500576858882509,-1,log_ridge_harq,0.47935999167323656,0.5022294692447733,0.5177300461036558,2,B0,2026-08-17
15,confirmation,-0.00016761815952226478,-1,0.005681594870961926,1,log_ridge_harq,0.2305576202260238,0.23072523838554607,0.22504364351458414,3,B0,2026-08-10
15,confirmation,0.0044711590065495965,1,0.0045875858375798995,1,log_ridge_harq,0.22953560319698374,0.22506444419043414,0.22047685835285424,4,B0,2026-08-25
15,confirmation,0.007265322291884702,1,-0.0013277133670120955,-1,log_ridge_harq,0.22140424951558124,0.21413892722369654,0.21546664059070864,5,B0,2026-08-05
15,confirmation,0.0010792965530838639,1,0.0052642458945754145,1,log_ridge_harq,0.2111765654837364,0.21009726893065253,0.20483302303607712,6,B0,2026-08-13
15,confirmation,0.00961501493740674,1,-0.004777076979710804,-1,log_ridge_harq,0.17419780068830706,0.16458278575090032,0.16935986273061113,7,B0,2026-09-04
15,confirmation,0.000769012198904212,1,-0.0011059622160617122,-1,log_ridge_harq,0.1714459344886052,0.170676922289701,0.1717828845057627,8,B0,2026-08-11
15,confirmation,-0.0002600854077668413,-1,0.003031526254072714,1,log_ridge_harq,0.1699076872458715,0.17016777265363833,0.16713624639956562,9,B0,2026-08-27
15,confirmation,0.001608117156413874,1,-0.0001356551761602376,-1,log_ridge_harq,0.1670416708652621,0.1654335537088482,0.16556920888500845,10,B0,2026-08-04
15,confirmation,-0.006979076091990333,-1,0.11624790425816478,1,log_ridge_harq,1.7215321695790584,1.7285112456710487,1.612263341412884,1,B1,2026-08-31
