horizon_minutes,window,endpoint,inference_role,alternative,regime,n_sessions,family,contrast,statistic,estimate,ci_low,ci_high,p_raw,p_holm,null_exceedances,holm_family_size,baseline_loss,percent_reduction_mean,bootstrap_block_length,bootstrap_repetitions,bootstrap_seed,spec_sha256
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Linear,B1_over_B0,median,0.000759128321644438,-0.0001823495921914331,0.002039626700250624,0.2493,0.4986,2492,4,0.21283240520099683,1.6025422183844726,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Linear,B1_over_B0,trimmed_mean_5pct,0.0012515029413631908,-0.0003183197507478449,0.0035836859647738833,0.18,0.54,1799,4,0.21283240520099683,1.6025422183844726,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Linear,B2_over_B1,mean,0.002284576833532525,0.0005511912463124908,0.004088082908110204,0.0111,0.0444,110,4,0.20942167605324777,1.0908979798975758,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Linear,B2_over_B1,median,0.0017225709846706086,0.00044943884976863385,0.0025780134817818684,0.0027,0.0108,26,4,0.20942167605324777,1.0908979798975758,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Linear,B2_over_B1,trimmed_mean_5pct,0.001883486880906979,0.0005440486569572064,0.0033645193953028936,0.0089,0.0356,88,4,0.20942167605324777,1.0908979798975758,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Trees,B1_over_B0,mean,0.0031429365655331024,-0.0009598923190364234,0.008516099063133253,0.1806,0.4194,1805,4,0.22276716437727415,1.4108616834617,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Trees,B1_over_B0,median,0.0004976089051862698,-0.0010212235000502945,0.0014099842215918163,0.2973,0.4986,2972,4,0.22276716437727415,1.4108616834617,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Trees,B1_over_B0,trimmed_mean_5pct,0.0009259023940144773,-0.0009711737902906021,0.0031319980086717994,0.3641,0.7282,3640,4,0.22276716437727415,1.4108616834617,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Trees,B2_over_B1,mean,-0.0019299446496690948,-0.007090324388550436,0.001508255393173334,0.3936,0.4194,3935,4,0.21962422781174099,-0.8787485191858787,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Trees,B2_over_B1,median,0.0008365618453244489,0.00017141333276723264,0.001741348420677337,0.0465,0.1395,464,4,0.21962422781174099,-0.8787485191858787,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
15,primary,qlike_volatility_regime_secondary,SECONDARY,two-sided,vol_high,140,Trees,B2_over_B1,trimmed_mean_5pct,0.00023856821693822296,-0.0013334239058308563,0.001699300852333161,0.7386,0.7386,7385,4,0.21962422781174099,-0.8787485191858787,5,9999,20260907,e4c6be7fb601b1a4d2daf54e3ac83bde3b0d6dc501e424312ffc81288fa11359
