horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,primary,b2_30m_sell_premium_share,feature,raw,419,0.03281117834078099,0.013179212812675303,0.03482992503385954,-0.024118570235680873,0.20127072640802254,372,47,0,419,0.8878281622911695,0.11217183770883055
5,primary,b2_30m_size,feature,log,419,0.012652236151054853,0.010715040201496493,0.01367076324552985,-0.013727652001317432,0.05400584885076121,373,46,0,419,0.8902147971360382,0.10978520286396182
5,primary,b2_30m_sweep_premium_share,feature,raw,419,-0.0017199472003334275,-0.0017316455336450058,0.002159355245150431,-0.005233836779412239,0.004460751640877886,44,375,0,419,0.10501193317422435,0.8949880668257757
5,primary,b2_30m_trades,feature,log,419,0.009203405310323279,0.0,0.009781236867968796,-0.013568678877329453,0.10321125567888866,97,15,307,112,0.2315035799522673,0.03579952267303103
5,primary,b2_30m_vega_flow,feature,signed,419,0.011096886090667609,0.011385735907791817,0.011096886090667609,0.004519893747804345,0.020441043443140437,419,0,0,419,1.0,0.0
5,primary,b2_30m_vega_flow_abs,feature,log,419,0.010366243908393495,0.015162906233737249,0.017252082875730358,-0.04596155518745045,0.038134096289593127,324,95,0,419,0.7732696897374701,0.22673031026252982
5,primary,b2_30m_vega_flow_call,feature,signed,419,-0.006218496056089604,-0.005908435614903993,0.006218496056089604,-0.017883230118028462,-0.0020352939500007453,0,419,0,419,0.0,1.0
5,primary,b2_30m_vega_flow_long_dte,feature,signed,419,-0.006598770095941345,-0.007291483900424075,0.006598770095941345,-0.010210918385904778,-0.0007607088327982079,0,419,0,419,0.0,1.0
5,primary,b2_30m_vega_flow_put,feature,signed,419,0.0021510623192375175,0.0029113120558411864,0.003498919172145004,-0.013451370753470065,0.005645141871133962,361,58,0,419,0.8615751789976134,0.13842482100238662
5,primary,b2_30m_vega_flow_short_dte,feature,signed,419,0.0023572154046861645,0.002205438069715398,0.0025583966307497668,-0.002382024039915174,0.01069931370413673,375,44,0,419,0.8949880668257757,0.10501193317422435
5,primary,b2_30m_window_empty,feature,raw,419,-0.004492280977914375,0.0,0.009493363801023847,-0.11517359972867044,0.10345214019517442,39,46,334,85,0.09307875894988067,0.10978520286396182
5,primary,b2_30m_zero_dte_premium_share,feature,raw,419,-0.009822563602119977,-0.008363273915694244,0.009822563602119977,-0.031184625429772305,-0.0033109660109762362,0,419,0,419,0.0,1.0
5,primary,b2_30m_zero_dte_signed_premium,feature,signed,419,0.0005136908796258968,0.0017874389245884378,0.002420910510729986,-0.009179886405715713,0.0032467429599801483,297,122,0,419,0.7088305489260143,0.2911694510739857
5,primary,b2_30m_zero_dte_trade_share,feature,raw,419,0.010176379790839742,0.009151525293222051,0.010568638254886272,-0.005482729418333645,0.034478626749255545,354,65,0,419,0.8448687350835322,0.15513126491646778
5,primary,b2_5m_buy_premium_share,feature,raw,419,-0.11789665080291056,-0.00020070751864513308,0.14677611736234888,-2.566008695492294,1.2206428993257301,167,226,26,393,0.39856801909307876,0.5393794749403341
