horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,confirmation,presence:b2_5m_sweep_premium_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_trades,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_vega_flow,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_vega_flow_abs,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_vega_flow_call,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_vega_flow_long_dte,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_vega_flow_put,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_vega_flow_short_dte,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_window_empty,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_zero_dte_premium_share,presence,finite_presence_binary,25,-0.0749805834400481,0.0,0.0749805834400481,-0.2695679667734877,0.0,0,7,18,7,0.0,0.28
5,confirmation,presence:b2_5m_zero_dte_signed_premium,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:b2_5m_zero_dte_trade_share,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:rp4_dealer_gamma_near_spot,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:rp4_dealer_gamma_net,presence,finite_presence_binary,25,-0.000693069870517,0.0,0.000693069870517,-0.0173267467629274,0.0,0,1,24,1,0.0,0.04
5,confirmation,presence:rp4_dealer_max_gamma_distance,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,confirmation,presence:rp4_gamma_imb_near_short,presence,finite_presence_binary,25,0.0056630019452133,0.0,0.0056630019452133,0.0,0.0474696743865491,3,0,22,3,0.12,0.0
5,confirmation,presence:rp4_gamma_imb_near_spot,presence,finite_presence_binary,25,0.0107169554515606,0.0,0.011991885761675,-0.0159366288764306,0.047502552907653,6,1,18,7,0.24,0.04
5,confirmation,presence:rp4_gamma_imb_signed_trades,presence,finite_presence_binary,25,0.0088181191399071,0.0,0.0100970050292465,-0.0159860736167418,0.0476358232781363,5,1,19,6,0.2,0.04
5,confirmation,presence:rp4_gamma_imb_total,presence,finite_presence_binary,25,0.011976673524052,0.0,0.0145279397171202,-0.0159677657356088,0.0476823564977621,7,2,16,9,0.28,0.08
5,confirmation,presence:rp4_iv_dte_0_1_m_090_097,presence,finite_presence_binary,25,-0.0124802288781291,-0.0130472663846817,0.0124802288781291,-0.0159511995505935,-0.0077250264272425,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_0_1_m_097_103,presence,finite_presence_binary,25,-0.0145903246756568,-0.0150948916436657,0.0145903246756568,-0.016030991701925,-0.0113891951362023,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_0_1_m_103_110,presence,finite_presence_binary,25,0.0094430211716334,0.0100520847258985,0.0094430211716334,0.0046716099767325,0.0122555666682951,25,0,0,25,1.0,0.0
