session_date,forecast__log_ols_harq__B0,loss__log_ols_harq__B0,forecast__log_ols_harq__B1,loss__log_ols_harq__B1,forecast__log_ols_harq__B2,loss__log_ols_harq__B2,forecast__lightgbm_qlike__B0,loss__lightgbm_qlike__B0,forecast__lightgbm_qlike__B1,loss__lightgbm_qlike__B1,forecast__lightgbm_qlike__B2,loss__lightgbm_qlike__B2,actual
2026-08-19,1.167991871441576e-05,0.11358119448386257,1.1461882082934282e-05,0.11489225796826723,1.1304598704012078e-05,0.11520387068449155,1.1293286907657104e-05,0.1085795135912956,1.1128042972073055e-05,0.10845465315796254,1.122613389128908e-05,0.11300905656573441,1.0810198126492607e-05
2026-08-20,1.1140201938822401e-05,0.13686766823691435,1.1345942507919211e-05,0.13941212466945566,1.1333761759132731e-05,0.14135759644810508,1.076596640371648e-05,0.13115287703798353,1.0770467913530093e-05,0.13674094060470965,1.065458313785405e-05,0.13996064072434375,9.712044703175223e-06
2026-08-21,1.1841040322234852e-05,0.10497114407409565,1.1739626305742649e-05,0.11040589225453079,1.1568934486471247e-05,0.10637563969421808,1.1840046691948134e-05,0.10838512910927912,1.1935082184441673e-05,0.10727826056277497,1.2064561315062395e-05,0.10859061606898746,1.2310713636350157e-05
2026-08-24,1.1684014108411007e-05,0.09953563848858656,1.1185725572217397e-05,0.10045438142589769,1.1194854488626157e-05,0.10272876557240179,1.14524251969751e-05,0.10064156036322147,1.118932156452949e-05,0.10132698533620155,1.1372673361560528e-05,0.09893451733023906,1.0616902555662431e-05
2026-08-25,1.0389037900995215e-05,0.13173600731599924,1.0501697048909514e-05,0.13285107882132538,1.0533821887227459e-05,0.13077986187007154,1.0706309290518907e-05,0.14296817990388633,1.0646059344991385e-05,0.1424763939262612,1.04304558858487e-05,0.13862429414298547,1.0538420832783123e-05
2026-08-26,1.3900548114252384e-05,0.10711474707773598,1.4066011226500851e-05,0.1041775198387821,1.3908401294559998e-05,0.1033198050473086,1.4216852509001224e-05,0.11917237341366675,1.4023819014055814e-05,0.11312315133584101,1.389922190518885e-05,0.10868777235503396,1.3676909576922171e-05
2026-08-27,1.709200413018755e-05,0.12353258784844545,1.6989941686877184e-05,0.12455234228795552,1.7029255568347212e-05,0.12006419805251238,1.5813252651652315e-05,0.12228196170276014,1.5351035221482753e-05,0.11241520360826172,1.5590831326032002e-05,0.11874635225919665,1.5831107701705926e-05
2026-08-28,1.803167803907262e-05,0.09178262251929704,1.7080496488399e-05,0.0881790117831851,1.697476848567532e-05,0.0889567492119024,1.701019496134183e-05,0.09186977145196418,1.635484965025749e-05,0.09395962241445067,1.670536206326757e-05,0.09209625369377267,1.6428720446732663e-05
2026-08-31,1.33752592702713e-05,2.41346092298108,1.2682165450970542e-05,2.269853375500964,1.264683554274094e-05,2.0881124835186493,1.3222030151306612e-05,2.1122124286407504,1.3109531438910103e-05,1.970440486866692,1.3358734705024671e-05,2.0584847739859136,1.9340726924338565e-05
2026-09-01,1.2944453849783532e-05,0.11792094333762955,1.2553216560557369e-05,0.11915167582956916,1.2627809865587528e-05,0.11423038699186068,1.4059411451270218e-05,0.12717780624223365,1.3469349077808022e-05,0.11829529571959489,1.3535051406455513e-05,0.11899469128303752,1.264460224786407e-05
2026-09-02,1.3402400087804417e-05,0.09161288550366792,1.3075366592695334e-05,0.09096300216092852,1.3131663470283255e-05,0.08811379429961275,1.4177602664798632e-05,0.10898884311462476,1.4161485697632087e-05,0.10979569825994616,1.4166833842192737e-05,0.1099318631925938,1.2788508766818883e-05
2026-09-03,1.6672261012944794e-05,0.10171643116367092,1.6456723694241567e-05,0.10049838076206173,1.670508699990194e-05,0.10034170897664979,1.5164222338932441e-05,0.13559971628633227,1.4761028105355882e-05,0.12745098616631523,1.4822078492758334e-05,0.12810375620419737,1.4317409392541642e-05
2026-09-04,1.179746621456833e-05,0.15857661236173495,1.1372704141052195e-05,0.15189394111769935,1.1554871940020394e-05,0.15534099027113266,1.1794743456097982e-05,0.21443185195898049,1.1565341563081077e-05,0.20361663435054678,1.1583367726037826e-05,0.20454362963835135,9.241494706614087e-06
