horizon_minutes,session_date,family,information_set,qlike,mae,mse,N_origins,N_asset_sessions
15,2026-01-09,ensemble_top2,B0,0.14336405153700452,1.8171528267171387e-06,7.845710916045585e-12,390,6
15,2026-01-09,ensemble_top2,B1,0.136963628970958,1.7253204932484423e-06,7.130751148239851e-12,390,6
15,2026-01-09,ensemble_top2,B2,0.13567976839323742,1.7449398686194733e-06,7.726761928682632e-12,390,6
15,2026-01-12,selector_primary,B0,0.19376734193760878,1.8246546545458294e-06,2.5272889254275118e-11,378,6
15,2026-01-12,selector_primary,B1,0.1993274809834952,1.7632728024470114e-06,2.4733439535507888e-11,378,6
15,2026-01-12,selector_primary,B2,0.19582039345766789,1.7648026795397517e-06,2.4629575233180748e-11,378,6
15,2026-01-12,ensemble_top2,B0,0.19370821069622166,1.8267171689318362e-06,2.5285616188465758e-11,378,6
15,2026-01-12,ensemble_top2,B1,0.19681869749463443,1.7597211401178448e-06,2.4799960280866948e-11,378,6
15,2026-01-12,ensemble_top2,B2,0.19325670120771432,1.7514858312594685e-06,2.4543861376043146e-11,378,6
15,2026-01-13,selector_primary,B0,0.12967187651334908,1.9408855920617938e-06,8.093023728477275e-12,384,6
15,2026-01-13,selector_primary,B1,0.12662665747393684,1.8922246795016264e-06,7.798693391437488e-12,384,6
15,2026-01-13,selector_primary,B2,0.12885898603731452,1.948075744804588e-06,8.315069789400575e-12,384,6
15,2026-01-13,ensemble_top2,B0,0.12962170424913771,1.941790867525252e-06,8.130572018938902e-12,384,6
15,2026-01-13,ensemble_top2,B1,0.12664060583828765,1.8905678968010348e-06,7.760717302389586e-12,384,6
15,2026-01-13,ensemble_top2,B2,0.1288276376007277,1.945747037457147e-06,8.281620708794749e-12,384,6
15,2026-01-14,selector_primary,B0,0.22821453368866298,2.339248856129453e-06,1.539980540396836e-11,390,6
15,2026-01-14,selector_primary,B1,0.22134770745662857,2.355771869138496e-06,1.5349078698249924e-11,390,6
15,2026-01-14,selector_primary,B2,0.22404841601659306,2.4361341927379688e-06,1.594005103324162e-11,390,6
15,2026-01-14,ensemble_top2,B0,0.22819394472232687,2.3369807551684156e-06,1.5341218075936974e-11,390,6
15,2026-01-14,ensemble_top2,B1,0.221263412856989,2.3531570243251808e-06,1.5292804341302268e-11,390,6
15,2026-01-14,ensemble_top2,B2,0.22312732673716149,2.436437572107131e-06,1.597809166170775e-11,390,6
15,2026-01-15,selector_primary,B0,0.16399974424412864,2.0198055549588885e-06,9.43758383782699e-12,390,6
15,2026-01-15,selector_primary,B1,0.16369340110208977,2.011274046986777e-06,9.378895499460909e-12,390,6
15,2026-01-15,selector_primary,B2,0.16583826769395069,2.0337975859699094e-06,9.165702539236821e-12,390,6
15,2026-01-15,ensemble_top2,B0,0.16399974415801075,2.019805556781347e-06,9.437583857317848e-12,390,6
15,2026-01-15,ensemble_top2,B1,0.1637554951192871,2.0110863166882825e-06,9.384484246272764e-12,390,6
15,2026-01-15,ensemble_top2,B2,0.16584312628976358,2.033797788714323e-06,9.165869041447724e-12,390,6
15,2026-01-16,selector_primary,B0,0.1535815993960253,1.6167227386184529e-06,6.6602944570853034e-12,390,6
15,2026-01-16,selector_primary,B1,0.1503038752387755,1.4818830682752204e-06,6.3956372983975e-12,390,6
15,2026-01-16,selector_primary,B2,0.14789376666778736,1.4830738413815493e-06,6.362249821011816e-12,390,6
15,2026-01-16,ensemble_top2,B0,0.1535650041519804,1.6171969612125642e-06,6.664359619437771e-12,390,6
15,2026-01-16,ensemble_top2,B1,0.15031192090918913,1.4824990544872042e-06,6.398122761257632e-12,390,6
15,2026-01-16,ensemble_top2,B2,0.14789376600720514,1.4830738444618037e-06,6.362249732081632e-12,390,6
15,2026-01-20,selector_primary,B0,0.11623273078809486,1.995250560407272e-06,7.0302651827006825e-12,384,6
15,2026-01-20,selector_primary,B1,0.11470998109396298,1.9713950062932087e-06,6.8889800700176965e-12,384,6
15,2026-01-20,selector_primary,B2,0.11932390334598082,2.0962718816516725e-06,7.827465066354318e-12,384,6
15,2026-01-20,ensemble_top2,B0,0.11623273124940799,1.9952505650097865e-06,7.030265183156213e-12,384,6
15,2026-01-20,ensemble_top2,B1,0.11470509332282626,1.9713402843781465e-06,6.888994948557305e-12,384,6
15,2026-01-20,ensemble_top2,B2,0.11932390462639715,2.096271900374822e-06,7.827465182933211e-12,384,6
15,2026-01-21,selector_primary,B0,0.6362729072612289,5.884302247512323e-06,1.9328811356066816e-10,373,6
15,2026-01-21,selector_primary,B1,0.6178348758519311,5.896529742650716e-06,1.930926891674323e-10,373,6
15,2026-01-21,selector_primary,B2,0.6093063485343464,5.875889439042682e-06,1.9236250083547766e-10,373,6
15,2026-01-21,ensemble_top2,B0,0.6362729100311485,5.884302252670548e-06,1.9328811395804702e-10,373,6
15,2026-01-21,ensemble_top2,B1,0.6178348786803015,5.8965297454755734e-06,1.9309268953824903e-10,373,6
15,2026-01-21,ensemble_top2,B2,0.6093062723766461,5.875889406200768e-06,1.9236249711096582e-10,373,6
15,2026-01-22,selector_primary,B0,0.19456943935792084,2.5641557980649004e-06,2.035446074047634e-11,372,6
15,2026-01-22,selector_primary,B1,0.18901429223317442,2.6127933826967758e-06,2.096924890383751e-11,372,6
15,2026-01-22,selector_primary,B2,0.18898408967350658,2.5861227912094936e-06,2.0141767696506784e-11,372,6
15,2026-01-22,ensemble_top2,B0,0.19103808385093082,2.5547024284739016e-06,2.0364983839176882e-11,372,6
15,2026-01-22,ensemble_top2,B1,0.19112981378331306,2.60889950127633e-06,2.0894834201055464e-11,372,6
15,2026-01-22,ensemble_top2,B2,0.19103694563406434,2.5914163329495987e-06,2.01913123536097e-11,372,6
15,2026-01-23,selector_primary,B0,0.14308058287407915,2.186320198678441e-06,1.1193340100543932e-11,390,6
15,2026-01-23,selector_primary,B1,0.1408636964613634,2.1870380977548648e-06,1.1180375431680937e-11,390,6
15,2026-01-23,selector_primary,B2,0.1460262768625141,2.2568615726742347e-06,1.1237378209623602e-11,390,6
15,2026-01-23,ensemble_top2,B0,0.14178504334073355,2.1915548527895635e-06,1.1079726093926383e-11,390,6
15,2026-01-23,ensemble_top2,B1,0.14067903275927315,2.1863490210691695e-06,1.1146642326751209e-11,390,6
15,2026-01-23,ensemble_top2,B2,0.13984053235563834,2.1908778405221502e-06,1.0856090629581642e-11,390,6
15,2026-01-26,selector_primary,B0,0.18062954794608252,1.8013818838001436e-06,1.0325418378522672e-11,384,6
15,2026-01-26,selector_primary,B1,0.1837563381888195,1.887862614392865e-06,1.0598606616902353e-11,384,6
15,2026-01-26,selector_primary,B2,0.17160351186081155,1.7606634084610489e-06,9.817865129272822e-12,384,6
15,2026-01-26,ensemble_top2,B0,0.1745067577171676,1.7617596045128124e-06,1.0038016907501768e-11,384,6
15,2026-01-26,ensemble_top2,B1,0.1767440568120335,1.8101036505992431e-06,1.01008424936047e-11,384,6
15,2026-01-26,ensemble_top2,B2,0.17150124715303336,1.759874395197419e-06,9.817013880722234e-12,384,6
15,2026-01-27,selector_primary,B0,0.13690220068765105,1.39544549311324e-06,3.6314826005789853e-12,384,6
15,2026-01-27,selector_primary,B1,0.13895819497934483,1.4637306723098958e-06,3.986339514946879e-12,384,6
15,2026-01-27,selector_primary,B2,0.1333704077685619,1.4221183136837495e-06,3.764588345274165e-12,384,6
15,2026-01-27,ensemble_top2,B0,0.1369022004331564,1.3954454871996715e-06,3.631482571250617e-12,384,6
15,2026-01-27,ensemble_top2,B1,0.13895819466798578,1.4637306662799748e-06,3.9863394838444145e-12,384,6
15,2026-01-27,ensemble_top2,B2,0.13335432434660094,1.4227761295331362e-06,3.7607219633059345e-12,384,6
15,2026-01-28,selector_primary,B0,0.17339719145876945,2.2854551139255013e-06,1.3381507893816731e-11,390,6
15,2026-01-28,selector_primary,B1,0.2001123214039069,2.3993718691414183e-06,1.4490721558251126e-11,390,6
15,2026-01-28,selector_primary,B2,0.20079161965059766,2.377915550647978e-06,1.4497317527868175e-11,390,6
15,2026-01-28,ensemble_top2,B0,0.1893225452265095,2.270799703659538e-06,1.3663889086200675e-11,390,6
15,2026-01-28,ensemble_top2,B1,0.20011232140534163,2.3993718628918796e-06,1.4490721486834142e-11,390,6
15,2026-01-28,ensemble_top2,B2,0.20084295451658793,2.377898352487161e-06,1.4504625157953073e-11,390,6
15,2026-01-29,selector_primary,B0,0.13940209497772124,4.588569594258215e-06,7.878981399493465e-11,384,6
15,2026-01-29,selector_primary,B1,0.14036502347687177,4.585929249158981e-06,7.229919866559048e-11,384,6
15,2026-01-29,selector_primary,B2,0.14851503282584042,4.686545677623147e-06,8.013797974395604e-11,384,6
15,2026-01-29,ensemble_top2,B0,0.12683211275884945,4.425389777877249e-06,6.018973730545129e-11,384,6
15,2026-01-29,ensemble_top2,B1,0.12924342527811625,4.413717681376699e-06,6.3120981610204e-11,384,6
15,2026-01-29,ensemble_top2,B2,0.1314247884480549,4.447675177078186e-06,6.245264261119127e-11,384,6
15,2026-01-30,selector_primary,B0,0.1011455042449963,4.0456949136378825e-06,5.363882059361732e-11,390,6
15,2026-01-30,selector_primary,B1,0.1005057027326157,3.924242240109041e-06,5.071713552110863e-11,390,6
15,2026-01-30,selector_primary,B2,0.09848675752370717,3.862368996070685e-06,4.730929873452329e-11,390,6
15,2026-01-30,ensemble_top2,B0,0.09822766714565934,4.058618434381333e-06,4.7887347557833004e-11,390,6
15,2026-01-30,ensemble_top2,B1,0.09535977751529184,3.895433600034637e-06,4.709597476968787e-11,390,6
15,2026-01-30,ensemble_top2,B2,0.09377928577373257,3.853083322010934e-06,4.554997701648221e-11,390,6
15,2026-02-02,selector_primary,B0,0.32180729037166006,3.4472544506479863e-06,3.384488075434026e-11,307,6
15,2026-02-02,selector_primary,B1,0.31601912166736024,3.5460137275817934e-06,3.380264862702186e-11,307,6
15,2026-02-02,selector_primary,B2,0.3165731919372079,3.5483252205734654e-06,3.410606717494529e-11,307,6
15,2026-02-02,ensemble_top2,B0,0.2841462866076297,3.511946780069498e-06,3.277407828708627e-11,307,6
15,2026-02-02,ensemble_top2,B1,0.30975917527551083,3.3916278008923796e-06,3.2649290639567056e-11,307,6
15,2026-02-02,ensemble_top2,B2,0.30605628319857153,3.3687809181348454e-06,3.2676107356490376e-11,307,6
15,2026-02-03,selector_primary,B0,0.1345896741481685,4.719263215022477e-06,5.993020773220383e-11,378,6
15,2026-02-03,selector_primary,B1,0.13800244392156094,4.603260590079116e-06,5.357261335381056e-11,378,6
15,2026-02-03,selector_primary,B2,0.12951802452872843,4.584510852259116e-06,5.630542577042181e-11,378,6
15,2026-02-03,ensemble_top2,B0,0.11721904695567192,4.441330579867556e-06,4.9419356509608326e-11,378,6
15,2026-02-03,ensemble_top2,B1,0.13677632022720648,4.51868800461043e-06,5.128808296781398e-11,378,6
15,2026-02-03,ensemble_top2,B2,0.12526264492039726,4.445550871075318e-06,5.050230846279211e-11,378,6
15,2026-02-04,selector_primary,B0,0.1342573472768304,6.06111948370013e-06,7.41628585257722e-11,390,6
15,2026-02-04,selector_primary,B1,0.14682957312700193,6.2041317817245905e-06,8.829205978912018e-11,390,6
15,2026-02-04,selector_primary,B2,0.14025369421808656,6.130611809372326e-06,8.503570450055295e-11,390,6
15,2026-02-04,ensemble_top2,B0,0.13425734700919584,6.061119475162835e-06,7.416285870765296e-11,390,6
15,2026-02-04,ensemble_top2,B1,0.1360842073536954,5.993929546314561e-06,7.895545642848743e-11,390,6
15,2026-02-04,ensemble_top2,B2,0.1325523150857885,5.919888719453894e-06,7.688254468423863e-11,390,6
15,2026-02-05,selector_primary,B0,0.11210699849584309,5.494093298621204e-06,5.5631889156332416e-11,384,6
15,2026-02-05,selector_primary,B1,0.1060884147063554,5.039254175827942e-06,5.22360387189203e-11,384,6
15,2026-02-05,selector_primary,B2,0.10535291491482257,4.983252401788765e-06,5.157178569830155e-11,384,6
15,2026-02-05,ensemble_top2,B0,0.11210699889047825,5.494093264889184e-06,5.563188859815612e-11,384,6
15,2026-02-05,ensemble_top2,B1,0.10794532804551325,5.02781922706333e-06,5.005923980339014e-11,384,6
15,2026-02-05,ensemble_top2,B2,0.10738893038464319,5.049007777211981e-06,4.984383850124166e-11,384,6
15,2026-02-06,selector_primary,B0,0.15972827450672364,5.937555907453305e-06,1.0088360439551027e-10,374,6
15,2026-02-06,selector_primary,B1,0.16177943875136966,5.479195727832447e-06,1.0446603224198466e-10,374,6
15,2026-02-06,selector_primary,B2,0.15838334730823175,5.473336271102733e-06,9.884986866141761e-11,374,6
15,2026-02-06,ensemble_top2,B0,0.15972827346732654,5.937555882195788e-06,1.008836049166567e-10,374,6
15,2026-02-06,ensemble_top2,B1,0.1566474812562445,5.496247420013395e-06,9.949399371999744e-11,374,6
15,2026-02-06,ensemble_top2,B2,0.15237099912602192,5.469391255346557e-06,9.340479562419521e-11,374,6
15,2026-02-09,selector_primary,B0,0.16969712565830017,4.049149557595793e-06,4.343286629646573e-11,390,6
15,2026-02-09,selector_primary,B1,0.16502583248531058,3.711928994863882e-06,4.3149988681486287e-11,390,6
15,2026-02-09,selector_primary,B2,0.17300586349096456,3.875232158123586e-06,4.7489495143623345e-11,390,6
15,2026-02-09,ensemble_top2,B0,0.16969712616037724,4.049149546017812e-06,4.3432866312372595e-11,390,6
15,2026-02-09,ensemble_top2,B1,0.17108185339914206,3.770692356991835e-06,4.246668596456547e-11,390,6
15,2026-02-09,ensemble_top2,B2,0.1660524826504356,3.7564665798164592e-06,4.301010954902267e-11,390,6
15,2026-02-10,selector_primary,B0,0.15976769904221813,3.3429965271553397e-06,3.319564604571319e-11,370,6
15,2026-02-10,selector_primary,B1,0.14597237349193057,3.073966642722664e-06,3.157697646944786e-11,370,6
15,2026-02-10,selector_primary,B2,0.15241838685473166,3.172342638323876e-06,3.2490092632490334e-11,370,6
15,2026-02-10,ensemble_top2,B0,0.15976769889489242,3.3429965281872677e-06,3.319564572844878e-11,370,6
15,2026-02-10,ensemble_top2,B1,0.14966082172420922,3.124353012198989e-06,3.143195248976538e-11,370,6
15,2026-02-10,ensemble_top2,B2,0.14979613744598427,3.119044930731317e-06,3.165856629502264e-11,370,6
15,2026-02-11,selector_primary,B0,0.1768278055951732,4.437735292574316e-06,7.641627617355059e-11,376,6
15,2026-02-11,selector_primary,B1,0.1830548728194121,4.172383845071537e-06,7.920110069669358e-11,376,6
