horizon_minutes,session_date,family,information_set,qlike,mae,mse,N_origins,N_asset_sessions,qlike_origin
15,2025-08-07,log_har,B1,0.12001474441992249,2.531660805805263e-06,1.2010755069818175e-11,378,6,0.11984733126181718
15,2025-08-07,log_har,B2,0.1237699737157078,2.556811776752312e-06,1.2100522854847561e-11,378,6,0.12385628975420751
15,2025-08-07,log_ridge_harq,B0,0.12027359043721635,2.6058597120576498e-06,1.2665174600443202e-11,378,6,0.12020461605803043
15,2025-08-07,log_ridge_harq,B1,0.12056114127210003,2.5352605116956585e-06,1.2077572163636972e-11,378,6,0.12037369828781189
15,2025-08-07,log_ridge_harq,B2,0.12450194547511827,2.5669621334709443e-06,1.2211607298507737e-11,378,6,0.12459478126641507
15,2025-08-07,log_elastic_net,B0,0.1203611188992638,2.6037403554804647e-06,1.2669831547715317e-11,378,6,0.1202819412093872
15,2025-08-07,log_elastic_net,B1,0.12054990400983512,2.53654848061264e-06,1.2086073555856547e-11,378,6,0.12035694852277988
15,2025-08-07,log_elastic_net,B2,0.12447546195871297,2.564402663714739e-06,1.2210308083469572e-11,378,6,0.12454923172610848
15,2025-08-07,lightgbm_qlike,B0,0.12129281058883357,2.5485468011999697e-06,1.306254580328215e-11,378,6,0.12063082905925171
15,2025-08-07,lightgbm_qlike,B1,0.12288969318184384,2.518945200852563e-06,1.2456390490781332e-11,378,6,0.12198741506888068
15,2025-08-07,lightgbm_qlike,B2,0.12447418278765754,2.5308854372291853e-06,1.2561176434692729e-11,378,6,0.12370381947293399
15,2025-08-07,selector_primary,B0,0.12129281058883357,2.5485468011999697e-06,1.306254580328215e-11,378,6,0.12063082905925171
15,2025-08-07,selector_primary,B1,0.12288969318184384,2.518945200852563e-06,1.2456390490781332e-11,378,6,0.12198741506888068
15,2025-08-07,selector_primary,B2,0.12447546195871297,2.564402663714739e-06,1.2210308083469572e-11,378,6,0.12454923172610848
15,2025-08-07,ensemble_top2,B0,0.11899461368536034,2.5517196914066457e-06,1.259512005918548e-11,378,6,0.11867755888052484
15,2025-08-07,ensemble_top2,B1,0.11979721859013166,2.4997134005394726e-06,1.2035482058126906e-11,378,6,0.11929316732358207
15,2025-08-07,ensemble_top2,B2,0.12448408748030526,2.565682398592842e-06,1.2210584282136894e-11,378,6,0.12456748994124663
15,2025-08-07,average_linear3,B0,0.12029900320647274,2.6052051046234285e-06,1.2667043616842549e-11,378,6,0.12022651824605984
15,2025-08-07,average_linear3,B1,0.12036333157227068,2.53441851408138e-06,1.205678866489736e-11,378,6,0.1201809404643153
15,2025-08-07,average_linear3,B2,0.12423751869589461,2.5627255246459985e-06,1.2173208621293431e-11,378,6,0.12432191795652477
15,2025-08-07,average_learned4,B0,0.11921497927614204,2.5732403716440277e-06,1.2559531111852862e-11,378,6,0.11903397103221816
15,2025-08-07,average_learned4,B1,0.11961776413623586,2.509887035758656e-06,1.1982029959184843e-11,378,6,0.11928751109611516
15,2025-08-07,average_learned4,B2,0.12259464365606433,2.5371051747909985e-06,1.2073293526156032e-11,378,6,0.12249573484795
15,2025-08-08,seasonal_persistence,B0,0.5069559468092905,3.708630083870764e-06,5.974255380785074e-11,390,6,0.5069559468092905
15,2025-08-08,seasonal_persistence,B1,0.5069559468092905,3.708630083870764e-06,5.974255380785074e-11,390,6,0.5069559468092905
15,2025-08-08,seasonal_persistence,B2,0.5069559468092905,3.708630083870764e-06,5.974255380785074e-11,390,6,0.5069559468092905
15,2025-08-08,log_har,B0,0.16352159311016937,2.7620057496027554e-06,3.704312417594325e-11,390,6,0.16352159311016937
15,2025-08-08,log_har,B1,0.16322172246759084,2.7348413247801e-06,3.740888976777527e-11,390,6,0.16322172246759084
15,2025-08-08,log_har,B2,0.15714694353505204,2.6939094805551554e-06,3.7113541612997525e-11,390,6,0.157146943535052
15,2025-08-08,log_ridge_harq,B0,0.16352159396030938,2.762005769523524e-06,3.7043125490160674e-11,390,6,0.16352159396030935
15,2025-08-08,log_ridge_harq,B1,0.16322163841766096,2.7348409123092003e-06,3.740898113959419e-11,390,6,0.16322163841766096
15,2025-08-08,log_ridge_harq,B2,0.15714698757802945,2.693910073359323e-06,3.711355947085685e-11,390,6,0.15714698757802945
15,2025-08-08,log_elastic_net,B0,0.16337890327222623,2.760564928909315e-06,3.708047714579193e-11,390,6,0.16337890327222623
15,2025-08-08,log_elastic_net,B1,0.16310773459395178,2.73364653091093e-06,3.7439828700431e-11,390,6,0.16310773459395178
15,2025-08-08,log_elastic_net,B2,0.15665761900420297,2.6884840227357362e-06,3.7000244337493044e-11,390,6,0.156657619004203
15,2025-08-08,lightgbm_qlike,B0,0.15737220657302428,2.6800497360143773e-06,3.734959225339809e-11,390,6,0.15737220657302425
15,2025-08-08,lightgbm_qlike,B1,0.1639857114836101,2.6311900223168826e-06,3.557991102548499e-11,390,6,0.1639857114836101
15,2025-08-08,lightgbm_qlike,B2,0.16005744464356875,2.6338900116123114e-06,3.597573081256478e-11,390,6,0.16005744464356872
15,2025-08-08,selector_primary,B0,0.15737220657302428,2.6800497360143773e-06,3.734959225339809e-11,390,6,0.15737220657302425
15,2025-08-08,selector_primary,B1,0.1639857114836101,2.6311900223168826e-06,3.557991102548499e-11,390,6,0.1639857114836101
15,2025-08-08,selector_primary,B2,0.16005744464356875,2.6338900116123114e-06,3.597573081256478e-11,390,6,0.16005744464356872
15,2025-08-08,ensemble_top2,B0,0.1564988452743242,2.6986129029758403e-06,3.676992339179731e-11,390,6,0.1564988452743242
15,2025-08-08,ensemble_top2,B1,0.15904677210013668,2.656784985121054e-06,3.619526054766983e-11,390,6,0.15904677210013668
15,2025-08-08,ensemble_top2,B2,0.15458170656472633,2.6427272107304244e-06,3.621514708076155e-11,390,6,0.15458170656472636
15,2025-08-08,average_linear3,B0,0.16347186845683015,2.761525482678531e-06,3.705527747196347e-11,390,6,0.16347186845683018
15,2025-08-08,average_linear3,B1,0.16318197623530603,2.734437357518649e-06,3.741910724471001e-11,390,6,0.163181976235306
15,2025-08-08,average_linear3,B2,0.15698034868988417,2.692101192216738e-06,3.707550219953715e-11,390,6,0.1569803486898842
15,2025-08-08,average_learned4,B0,0.1586363437685535,2.7216549899118964e-06,3.678834201144239e-11,390,6,0.1586363437685535
15,2025-08-08,average_learned4,B1,0.1593296080983102,2.6892705775387304e-06,3.673565156802348e-11,390,6,0.15932960809831018
15,2025-08-08,average_learned4,B2,0.15450720494383505,2.6599095302301132e-06,3.6594285748902816e-11,390,6,0.15450720494383502
15,2025-08-11,seasonal_persistence,B0,0.1355095416205204,1.8902321630815907e-06,8.04937094149975e-12,390,6,0.13550954162052037
15,2025-08-11,seasonal_persistence,B1,0.1355095416205204,1.8902321630815907e-06,8.04937094149975e-12,390,6,0.13550954162052037
15,2025-08-11,seasonal_persistence,B2,0.1355095416205204,1.8902321630815907e-06,8.04937094149975e-12,390,6,0.13550954162052037
15,2025-08-11,log_har,B0,0.12276879239297228,1.8153816580775158e-06,7.633393775427871e-12,390,6,0.12276879239297227
15,2025-08-11,log_har,B1,0.12042307872947404,1.7250637744782082e-06,7.27645948545099e-12,390,6,0.12042307872947403
15,2025-08-11,log_har,B2,0.12127744096048605,1.7191256381016999e-06,7.277767677904085e-12,390,6,0.12127744096048605
15,2025-08-11,log_ridge_harq,B0,0.12274720934095261,1.8151056933416785e-06,7.630680302956436e-12,390,6,0.12274720934095258
15,2025-08-11,log_ridge_harq,B1,0.12040426861162601,1.7247882237315497e-06,7.27394955677503e-12,390,6,0.12040426861162602
15,2025-08-11,log_ridge_harq,B2,0.12137912673172084,1.7217940876768365e-06,7.279544720685587e-12,390,6,0.12137912673172085
15,2025-08-11,log_elastic_net,B0,0.1226852304876259,1.8140048125940786e-06,7.623157616573601e-12,390,6,0.1226852304876259
15,2025-08-11,log_elastic_net,B1,0.12041445119442656,1.725436401251504e-06,7.2605069790572995e-12,390,6,0.12041445119442658
15,2025-08-11,log_elastic_net,B2,0.12136249470768871,1.7234939347237023e-06,7.279324789736313e-12,390,6,0.1213624947076887
15,2025-08-11,lightgbm_qlike,B0,0.12091450347179096,1.7928318993871572e-06,7.362817682218999e-12,390,6,0.12091450347179097
15,2025-08-11,lightgbm_qlike,B1,0.12082321508555476,1.7475808855357289e-06,7.278738617747066e-12,390,6,0.12082321508555477
15,2025-08-11,lightgbm_qlike,B2,0.11746117260967164,1.775419991280054e-06,7.575148873884952e-12,390,6,0.11746117260967164
15,2025-08-11,selector_primary,B0,0.12091450347179096,1.7928318993871572e-06,7.362817682218999e-12,390,6,0.12091450347179097
15,2025-08-11,selector_primary,B1,0.12082321508555476,1.7475808855357289e-06,7.278738617747066e-12,390,6,0.12082321508555477
