window,model,fit_phase,partition,column,count_low,count_high,N_fit_records
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:13,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:14,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:15,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:16,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:17,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:18,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:19,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:2,72,24,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:20,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:21,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:22,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:23,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:24,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:25,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:26,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:27,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:28,168,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:29,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:3,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:30,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:31,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:32,569,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:33,0,2755,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:34,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:35,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:36,2864,9,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:37,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:38,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:39,172,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:4,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:40,8,1030,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:41,475,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:42,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:43,1271,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:44,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:45,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:46,317,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:47,4961,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:48,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:49,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:5,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:50,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:51,0,0,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:52,0,15,36
primary,jump__log_ridge_harq__B1,inner_fit,predicting,feature:53,0,0,36
