comparison,reason,asset,column,rows,absolute_tolerance,relative_tolerance,finite_pairs,only_left_finite,only_right_finite,both_nonfinite,nonzero_difference_pairs,outside_tolerance_pairs,maximum_absolute_difference,mean_absolute_difference,mean_signed_difference
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",NVDA,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,0,0,0.0,0.0,0.0
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",NVDA,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,0,0,0.0,0.0,0.0
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",NVDA,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,0,0,0.0,0.0,0.0
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",TSLA,rp4_gamma_imb_total,32580,1e-8,1e-10,32515,65,0,0,224,224,16846771.87738037,73869.31212479455,-43948.44212383946
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",TSLA,rp4_gamma_imb_near_spot,32580,1e-8,1e-10,32515,65,0,0,224,224,11697354.608251572,33637.14494592968,-29616.09689581849
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",TSLA,rp4_gamma_imb_near_short,32580,1e-8,1e-10,32515,65,0,0,195,195,5855875.176602364,14937.7397730587,-13950.67248254768
iv_only_vs_production,"First-available versions, eligible-history, dual clocks, prefix NaN, ambiguous side zero",TSLA,rp4_gamma_imb_signed_trades,32580,1e-8,1e-10,32515,65,0,0,224,224,138.0,0.7134245732738737,0.7134245732738737
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",ALL,rp4_gamma_imb_total,195479,1e-8,1e-10,195089,390,0,0,163528,163512,223533054212.31125,3440755928.3708453,532547561.65466547
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",ALL,rp4_gamma_imb_near_spot,195479,1e-8,1e-10,195089,390,0,0,42234,42103,223533060025.9393,3440317177.547886,532267181.0388709
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",ALL,rp4_gamma_imb_near_short,195479,1e-8,1e-10,195089,390,0,0,42234,42104,223533060025.93988,3440312523.8472147,532269735.73487055
candidate_vs_production,"Combined registered IV, version/history and causal safety corrections",ALL,rp4_gamma_imb_signed_trades,195479,1e-8,1e-10,195089,390,0,0,162762,162762,217845.0,5200.605831184741,-5200.026567361563
