asset,session_date,origins,used_all_fallback,missing_bar_grid,duplicates__raw_rows,duplicates__conflicting_ids_audit_only,duplicates__later_distinct_versions_ignored,duplicates__first_available_tie_conflicts_audit_only,duplicates__unorderable_clock_rows,duplicates__exact_duplicate_rows_removed,duplicates__selected_rows,legacy_duplicates__raw_rows,legacy_duplicates__conflicting_ids_audit_only,legacy_duplicates__later_distinct_versions_ignored,legacy_duplicates__first_available_tie_conflicts_audit_only,legacy_duplicates__unorderable_clock_rows,legacy_duplicates__exact_duplicate_rows_removed,legacy_duplicates__selected_rows,iv__raw_asset_rows,iv__iv_null_rows,iv__iv_nonfinite_nonnull_rows,iv__iv_below_003_rows,iv__iv_above_3_rows,iv__iv_rejected_total_rows,iv__iv_rejected_percent,iv__old_iv_eligible_rows,iv__new_iv_eligible_rows,iv__newly_rejected_within_old_iv_range,legacy__base_valid_rows,legacy__calendar_valid_rows,legacy__created_before_executed_rows,legacy__numeric_valid_rows,legacy__nonfinite_multivol_rows,legacy__ambiguous_side_rows,legacy__signed_rows,iv_only__base_valid_rows,iv_only__calendar_valid_rows,iv_only__created_before_executed_rows,iv_only__numeric_valid_rows,iv_only__nonfinite_multivol_rows,iv_only__ambiguous_side_rows,iv_only__signed_rows,production__base_valid_rows,production__calendar_valid_rows,production__created_before_executed_rows,production__numeric_valid_rows,production__nonfinite_multivol_rows,production__ambiguous_side_rows,production__signed_rows,target_mask__missing_bar_keys,target_mask__quality_excluded_keys,target_mask__unobserved_target_bar_keys
AAPL,2024-09-26,65,false,false,99894,0,0,0,0,0,99894,99894,0,0,0,0,0,99894,99894,0,0,0,1,1,0.0010010611247922797,99894,99893,1,97874,91655,0,91655,0,0,76075,97873,91654,0,91654,0,0,76074,97873,91654,0,91654,0,0,76074,0,0,0
AAPL,2024-09-27,65,false,false,104700,0,0,0,0,0,104700,104700,0,0,0,0,0,104700,104700,9,0,40806,0,40815,38.98280802292263,104685,63885,40800,102327,95884,0,95884,0,0,78367,62038,55595,0,55595,0,0,42679,62038,55595,0,55595,0,0,42679,0,0,0
AAPL,2024-09-30,65,false,false,152450,0,0,0,0,0,152450,152450,0,0,0,0,0,152450,152450,0,0,0,0,0,0.0,152450,152450,0,150543,141479,0,141479,0,0,118323,150543,141479,0,141479,0,0,118323,150543,141479,0,141479,0,0,118323,0,0,0
AAPL,2024-10-01,65,false,false,157823,0,0,0,0,0,157823,157823,0,0,0,0,0,157823,157823,0,0,0,1,1,0.0006336212085690932,157823,157822,1,155620,144249,0,144249,0,0,118944,155619,144248,0,144248,0,0,118943,155619,144248,0,144248,0,0,118943,0,0,0
AAPL,2024-10-02,65,false,false,99026,0,0,0,0,0,99026,99026,0,0,0,0,0,99026,99026,0,0,0,2,2,0.002019671601397613,99025,99024,1,97671,91854,0,91854,0,0,75896,97670,91853,0,91853,0,0,75895,97670,91853,0,91853,0,0,75895,0,0,0
AAPL,2024-10-03,65,false,false,93582,0,0,0,0,0,93582,93582,0,0,0,0,0,93582,93582,0,0,0,6,6,0.006411489388985061,93582,93576,6,92338,85638,0,85638,0,0,70317,92334,85634,0,85634,0,0,70314,92334,85634,0,85634,0,0,70314,0,0,0
AAPL,2024-10-04,65,false,false,111494,0,0,0,0,0,111494,111494,0,0,0,0,0,111494,111494,5,0,40914,1,40920,36.70152653954473,111486,70574,40912,108093,102565,0,102565,0,0,83204,67903,62375,0,62375,0,0,47742,67903,62375,0,62375,0,0,47742,0,0,0
AAPL,2024-10-07,65,false,false,86747,0,0,0,0,0,86747,86747,0,0,0,0,0,86747,86747,0,0,0,10,10,0.011527776176697754,86745,86737,8,85606,78807,0,78807,0,0,62714,85598,78799,0,78799,0,0,62706,85598,78799,0,78799,0,0,62706,0,0,0
AAPL,2024-10-08,65,false,false,81734,0,0,0,0,0,81734,81734,0,0,0,0,0,81734,81734,0,0,0,2,2,0.0024469620965571243,81734,81732,2,80744,75125,0,75125,0,0,61216,80742,75123,0,75123,0,0,61215,80742,75123,0,75123,0,0,61215,0,0,0
AAPL,2024-10-09,65,false,false,110183,0,0,0,0,0,110183,110183,0,0,0,0,0,110183,110183,0,0,0,2,2,0.001815162048591888,110182,110181,1,109123,102627,0,102627,0,0,83157,109122,102626,0,102626,0,0,83156,109122,102626,0,102626,0,0,83156,0,0,0
AAPL,2024-10-10,65,false,false,77241,0,0,0,0,0,77241,77241,0,0,0,0,0,77241,77241,0,0,0,9,9,0.01165184293315726,77240,77232,8,76089,68943,0,68943,0,0,54281,76081,68935,0,68935,0,0,54276,76081,68935,0,68935,0,0,54276,0,0,0
AAPL,2024-10-11,65,false,false,88989,0,0,0,0,0,88989,88989,0,0,0,0,0,88989,88989,2,0,32461,1,32464,36.48091337131556,88980,56525,32455,86853,80898,0,80898,0,0,64891,54684,48729,0,48729,0,0,36384,54684,48729,0,48729,0,0,36384,0,0,0
AAPL,2024-10-14,65,false,false,90285,0,0,0,0,0,90285,90285,0,0,0,0,0,90285,90285,0,0,0,6,6,0.006645622196378136,90281,90279,2,89458,82328,0,82328,0,0,64523,89456,82326,0,82326,0,0,64521,89456,82326,0,82326,0,0,64521,0,0,0
AAPL,2024-10-15,65,false,false,200746,0,0,0,0,0,200746,200746,0,0,0,0,0,200746,200746,0,0,0,8,8,0.00398513544479093,200745,200738,7,198432,177497,0,177497,0,0,144369,198425,177491,0,177491,0,0,144364,198425,177491,0,177491,0,0,144364,0,0,0
AAPL,2024-10-16,65,false,false,96212,0,0,0,0,0,96212,96212,0,0,0,0,0,96212,96212,0,0,0,37,37,0.03845674136282377,96212,96175,37,95087,88070,0,88070,0,0,71356,95050,88033,0,88033,0,0,71325,95050,88033,0,88033,0,0,71325,0,0,0
AAPL,2024-10-17,65,false,false,73245,0,0,0,0,0,73245,73245,0,0,0,0,0,73245,73245,0,0,0,24,24,0.032766741757116524,73244,73221,23,72367,66373,0,66373,0,0,54217,72348,66354,0,66354,0,0,54210,72348,66354,0,66354,0,0,54210,0,0,0
AAPL,2024-10-18,65,false,false,132413,0,0,0,0,0,132413,132413,0,0,0,0,0,132413,132413,122,0,50209,12,50343,38.01968084704674,132124,82070,50054,129309,120821,0,120821,0,0,94653,80036,71548,0,71548,0,0,51122,80036,71548,0,71548,0,0,51122,0,0,0
AAPL,2024-10-21,65,false,false,82186,0,0,0,0,0,82186,82186,0,0,0,0,0,82186,82186,0,0,0,3,3,0.0036502567347236757,82186,82183,3,81536,76662,0,76662,0,0,61512,81533,76659,0,76659,0,0,61509,81533,76659,0,76659,0,0,61509,0,0,0
AAPL,2024-10-22,65,false,false,85406,0,0,0,0,0,85406,85406,0,0,0,0,0,85406,85406,0,0,0,1,1,0.0011708779242676159,85406,85405,1,84474,81076,0,81076,0,0,67337,84473,81075,0,81075,0,0,67336,84473,81075,0,81075,0,0,67336,0,0,0
AAPL,2024-10-23,65,false,false,156052,0,0,0,0,0,156052,156052,0,0,0,0,0,156052,156052,3,0,0,2,5,0.0032040601850665163,156049,156047,2,154076,146295,0,146295,0,0,122247,154075,146294,0,146294,0,0,122246,154075,146294,0,146294,0,0,122246,0,0,0
AAPL,2024-10-24,65,false,false,85619,0,0,0,0,0,85619,85619,0,0,0,0,0,85619,85619,0,0,0,2,2,0.00233593010897114,85619,85617,2,84429,77393,0,77393,0,0,62042,84427,77391,0,77391,0,0,62041,84427,77391,0,77391,0,0,62041,0,0,0
AAPL,2024-10-25,65,false,false,113676,0,0,0,0,0,113676,113676,0,0,0,0,0,113676,113676,9,0,42848,1,42858,37.70188958091418,113626,70818,42808,111102,105081,0,105081,0,0,84732,69162,63141,0,63141,0,0,47629,69162,63141,0,63141,0,0,47629,0,0,0
AAPL,2024-10-28,65,false,false,80719,0,0,0,0,0,80719,80719,0,0,0,0,0,80719,80719,0,0,0,0,0,0.0,80719,80719,0,79566,74785,0,74785,0,0,57150,79566,74785,0,74785,0,0,57150,79566,74785,0,74785,0,0,57150,0,0,0
AAPL,2024-10-29,65,false,false,50395,0,0,0,0,0,50395,50395,0,0,0,0,0,50395,50395,0,0,0,1,1,0.0019843238416509573,50395,50394,1,49643,46938,0,46938,0,0,38002,49643,46938,0,46938,0,0,38002,49643,46938,0,46938,0,0,38002,0,0,0
AAPL,2024-10-30,65,false,false,89242,0,0,0,0,0,89242,89242,0,0,0,0,0,89242,89242,0,0,0,3,3,0.003361645861813944,89242,89239,3,87781,81784,0,81784,0,0,67798,87778,81781,0,81781,0,0,67795,87778,81781,0,81781,0,0,67795,0,0,0
AAPL,2024-10-31,65,false,false,172588,0,0,0,0,0,172588,172588,0,0,0,0,0,172588,172588,0,0,0,7,7,0.004055901916703363,172588,172581,7,169176,161010,0,161010,0,0,115988,169170,161004,0,161004,0,0,115986,169170,161004,0,161004,0,0,115986,0,0,0
AAPL,2024-11-01,65,false,false,196076,0,0,0,0,0,196076,196076,0,0,0,0,0,196076,196076,15,0,57912,2,57929,29.54415634753871,196058,138147,57911,187968,177822,0,177822,0,0,138579,130811,120665,0,120665,0,0,88967,130811,120665,0,120665,0,0,88967,0,0,0
AAPL,2024-11-04,65,false,false,83209,0,0,0,0,0,83209,83209,0,0,0,0,0,83209,83209,0,0,0,2,2,0.0024035861505366006,83208,83207,1,81975,74047,0,74047,0,0,59623,81974,74046,0,74046,0,0,59622,81974,74046,0,74046,0,0,59622,0,0,0
AAPL,2024-11-05,65,false,false,65810,0,0,0,0,0,65810,65810,0,0,0,0,0,65810,65810,0,0,0,2,2,0.00303905181583346,65809,65808,1,64891,60318,0,60318,0,0,47102,64891,60318,0,60318,0,0,47102,64891,60318,0,60318,0,0,47102,0,0,0
AAPL,2024-11-06,65,false,false,100780,0,0,0,0,0,100780,100780,0,0,0,0,0,100780,100780,0,0,0,0,0,0.0,100780,100780,0,99279,92639,0,92639,0,0,77090,99279,92639,0,92639,0,0,77090,99279,92639,0,92639,0,0,77090,0,0,0
AAPL,2024-11-07,65,false,false,113716,0,0,0,0,0,113716,113716,0,0,0,0,0,113716,113716,2,0,0,30,32,0.028140279292271975,113711,113684,27,111644,99968,0,99968,0,0,81366,111617,99941,0,99941,0,0,81351,111617,99941,0,99941,0,0,81351,0,0,0
AAPL,2024-11-08,65,false,false,95844,0,0,0,0,0,95844,95844,0,0,0,0,0,95844,95844,0,0,31290,6,31296,32.6530612244898,95757,64548,31209,93159,86076,0,86076,0,0,68404,62767,55684,0,55684,0,0,41080,62767,55684,0,55684,0,0,41080,0,0,0
AAPL,2024-11-11,65,false,false,100202,0,0,0,0,0,100202,100202,0,0,0,0,0,100202,100202,0,0,0,13,13,0.012973792938264705,100199,100189,10,98724,86683,0,86683,0,0,70184,98715,86674,0,86674,0,0,70183,98715,86674,0,86674,0,0,70183,0,0,0
AAPL,2024-11-12,65,false,false,76587,0,0,0,0,0,76587,76587,0,0,0,0,0,76587,76587,0,0,0,1,1,0.0013057046235000719,76586,76586,0,75278,66188,0,66188,0,0,54396,75278,66188,0,66188,0,0,54396,75278,66188,0,66188,0,0,54396,0,0,0
AAPL,2024-11-13,65,false,false,89992,0,0,0,0,0,89992,89992,0,0,0,0,0,89992,89992,0,0,0,1,1,0.0011112098853231398,89992,89991,1,88411,78600,0,78600,0,0,65266,88410,78599,0,78599,0,0,65265,88410,78599,0,78599,0,0,65265,0,0,0
AAPL,2024-11-14,65,false,false,124549,0,0,0,0,0,124549,124549,0,0,0,0,0,124549,124549,0,0,0,21,21,0.016860833888670324,124535,124528,7,122328,114665,0,114665,0,0,96550,122322,114659,0,114659,0,0,96544,122322,114659,0,114659,0,0,96544,0,0,0
AAPL,2024-11-15,65,false,false,93928,0,0,0,0,0,93928,93928,0,0,0,0,0,93928,93928,5,0,31906,47,31958,34.023933225449284,93916,61970,31946,90784,83007,0,83007,0,0,67444,59610,51833,0,51833,0,0,40483,59610,51833,0,51833,0,0,40483,0,0,0
AAPL,2024-11-18,65,false,false,107952,0,0,0,0,0,107952,107952,0,0,0,0,0,107952,107952,0,0,0,121,121,0.11208685341633319,107947,107831,116,106093,98132,0,98132,0,0,82453,105979,98026,0,98026,0,0,82352,105979,98026,0,98026,0,0,82352,0,0,0
AAPL,2024-11-19,65,false,false,76301,0,0,0,0,0,76301,76301,0,0,0,0,0,76301,76301,0,0,0,38,38,0.04980275487870408,76293,76263,30,74639,69302,0,69302,0,0,57157,74609,69294,0,69294,0,0,57150,74609,69294,0,69294,0,0,57150,0,0,0
AAPL,2024-11-20,65,false,false,82705,0,0,0,0,0,82705,82705,0,0,0,0,0,82705,82705,0,0,0,16,16,0.019345867843540292,82705,82689,16,81130,76194,0,76194,0,0,65728,81115,76180,0,76180,0,0,65717,81115,76180,0,76180,0,0,65717,0,0,0
AAPL,2024-11-21,65,false,false,95972,0,0,0,0,0,95972,95972,0,0,0,0,0,95972,95972,0,0,0,59,59,0.06147626391030717,95971,95913,58,93078,86613,0,86613,0,0,72711,93024,86581,0,86581,0,0,72681,93024,86581,0,86581,0,0,72681,0,0,0
AAPL,2024-11-22,65,false,false,102782,0,0,0,0,0,102782,102782,0,0,0,0,0,102782,102782,2,0,39045,2,39049,37.99206086668872,101011,63733,37278,98020,92080,0,92080,0,0,74222,61636,55696,0,55696,0,0,42155,61636,55696,0,55696,0,0,42155,0,0,0
AAPL,2024-11-25,65,false,false,105163,0,0,0,0,0,105163,105163,0,0,0,0,0,105163,105163,0,0,0,28,28,0.026625334005306048,105158,105135,23,103315,98026,0,98026,0,0,80126,103292,98003,0,98003,0,0,80104,103292,98003,0,98003,0,0,80104,0,0,0
AAPL,2024-11-26,65,false,false,113303,0,0,0,0,0,113303,113303,0,0,0,0,0,113303,113303,0,0,0,23,23,0.02029955076211574,113300,113280,20,111169,104752,0,104752,0,0,84260,111151,104739,0,104739,0,0,84247,111151,104739,0,104739,0,0,84247,0,0,0
AAPL,2024-11-27,65,false,false,80313,0,0,0,0,0,80313,80313,0,0,0,0,0,80313,80313,0,0,0,75,75,0.09338463262485526,80300,80238,62,78642,72130,0,72130,0,0,59949,78580,72068,0,72068,0,0,59893,78580,72068,0,72068,0,0,59893,0,0,0
