B1_over_B0,B1_over_B0_sign,B2_over_B1,B2_over_B1_sign,family,qlike_B0,qlike_B1,qlike_B2,rank,ranked_information_set,session_date
0.3451902921428087,1,-0.06014752346327912,-1,lightgbm_qlike,2.5507802128639576,2.205589920721149,2.265737444184428,1,B0,2025-04-09
0.07325611494419726,1,-0.1838204900994478,-1,lightgbm_qlike,1.2318194159166176,1.1585633009724203,1.3423837910718681,2,B0,2025-04-07
0.013345979162922461,1,0.007136072105393465,1,lightgbm_qlike,0.906191552003874,0.8928455728409516,0.8857095007355581,3,B0,2026-06-05
0.03044076889649583,1,-0.01179836779061938,-1,lightgbm_qlike,0.7971694296062322,0.7667286607097363,0.7785270285003557,4,B0,2024-11-14
0.07999885343979485,1,0.020102698508335015,1,lightgbm_qlike,0.7101532733144569,0.630154419874662,0.610051721366327,5,B0,2026-03-16
0.006255556147961694,1,-0.007647693058983274,-1,lightgbm_qlike,0.6974436608579135,0.6911881047099518,0.6988357977689351,6,B0,2025-10-10
0.020060972513795683,1,0.02582745016004906,1,lightgbm_qlike,0.6522426149977926,0.6321816424839969,0.6063541923239478,7,B0,2026-01-21
0.03011258517762927,1,0.019545624301281594,1,lightgbm_qlike,0.6464936387148594,0.6163810535372302,0.5968354292359486,8,B0,2025-05-21
0.007272097028427904,1,0.003803280962951572,1,lightgbm_qlike,0.589931226613312,0.5826591295848841,0.5788558486219325,9,B0,2024-12-18
0.13454835229017265,1,-0.023430393112668924,-1,lightgbm_qlike,0.5839107963469937,0.4493624440568211,0.47279283716949,10,B0,2025-09-17
0.3451902921428087,1,-0.06014752346327912,-1,lightgbm_qlike,2.5507802128639576,2.205589920721149,2.265737444184428,1,B1,2025-04-09
0.07325611494419726,1,-0.1838204900994478,-1,lightgbm_qlike,1.2318194159166176,1.1585633009724203,1.3423837910718681,2,B1,2025-04-07
0.013345979162922461,1,0.007136072105393465,1,lightgbm_qlike,0.906191552003874,0.8928455728409516,0.8857095007355581,3,B1,2026-06-05
0.03044076889649583,1,-0.01179836779061938,-1,lightgbm_qlike,0.7971694296062322,0.7667286607097363,0.7785270285003557,4,B1,2024-11-14
0.006255556147961694,1,-0.007647693058983274,-1,lightgbm_qlike,0.6974436608579135,0.6911881047099518,0.6988357977689351,5,B1,2025-10-10
