version,window,section,N_available_origins,N_excluded_from_subset_origins,N_origins,N_sessions,N_unknown_membership_origins,N_unknown_membership_sessions,N_verified_membership_origins,N_verified_nonmember_origins,contrast,coverage_status,estimate,family,qlike_reduction_percent,status,subset,N_asset_sessions
v2,primary,secondary,160832,145785,15047,56,0,0,160832,145785,B1_over_B0,COMPLETE_COVERAGE,-0.00020511883618294473,lightgbm_qlike,-0.1274491919202314,COMPUTED,event,
v2,primary,secondary,160832,145785,15047,56,0,0,160832,145785,B2_over_B1,COMPLETE_COVERAGE,-0.00011839846454055803,lightgbm_qlike,-0.073472439570441,COMPUTED,event,
v2,primary,robustness,,,26898,419,,,,,B1_over_B0,,0.0032166744221058165,log_ridge_harq,1.9908546151357158,,asset_AAPL,419
v2,primary,robustness,,,26898,419,,,,,B2_over_B1,,-0.0007504473933186203,log_ridge_harq,-0.4738993267029957,,asset_AAPL,419
v2,primary,robustness,,,26898,419,,,,,B1_over_B0,,0.0022956156880685795,lightgbm_qlike,1.42335255562509,,asset_AAPL,419
v2,primary,robustness,,,26898,419,,,,,B2_over_B1,,-0.00031805638806366567,lightgbm_qlike,-0.2000522223439057,,asset_AAPL,419
v2,primary,robustness,,,26743,419,,,,,B1_over_B0,,0.0037183463990252746,log_ridge_harq,2.640680248309883,,asset_AMZN,419
v2,primary,robustness,,,26743,419,,,,,B2_over_B1,,-0.004927425618529339,log_ridge_harq,-3.5942519531939334,,asset_AMZN,419
v2,primary,robustness,,,26743,419,,,,,B1_over_B0,,0.0028413229073772023,lightgbm_qlike,1.9814269037301588,,asset_AMZN,419
v2,primary,robustness,,,26743,419,,,,,B2_over_B1,,0.0004482614082631715,lightgbm_qlike,0.31891903256251064,,asset_AMZN,419
v2,primary,robustness,,,26853,419,,,,,B1_over_B0,,0.002997127214921797,log_ridge_harq,1.9576125828370143,,asset_META,419
v2,primary,robustness,,,26853,419,,,,,B2_over_B1,,-0.0025465951416333674,log_ridge_harq,-1.6965536530819845,,asset_META,419
