session_date,forecast__log_ridge_harq__B0,loss__log_ridge_harq__B0,forecast__log_ridge_harq__B1,loss__log_ridge_harq__B1,forecast__log_ridge_harq__B2,loss__log_ridge_harq__B2,forecast__lightgbm_qlike__B0,loss__lightgbm_qlike__B0,forecast__lightgbm_qlike__B1,loss__lightgbm_qlike__B1,forecast__lightgbm_qlike__B2,loss__lightgbm_qlike__B2,actual
2025-10-23,2.5243011256666576e-06,0.35607413526274595,2.547298265630633e-06,0.36115455187914924,2.57088151554813e-06,0.3622821494500801,2.3223427065919196e-06,0.35350065168850087,2.2650443921001324e-06,0.3547460323419486,2.368496105730341e-06,0.3562402144224254,2.3018643492589677e-06
2025-10-24,1.7294328633093839e-06,0.3253019766336572,1.770462922672462e-06,0.32549036964879213,1.7843851826322083e-06,0.3255909474865239,1.6180426318154638e-06,0.3311849549090529,1.667506175965969e-06,0.3314522199938131,1.7200739489126077e-06,0.3293165877409899,1.5787056110069583e-06
2025-10-27,1.542362328077264e-06,0.4705758359010553,1.533531519004181e-06,0.46507922534450025,1.5817896605030182e-06,0.45934855551532183,1.572652857621612e-06,0.44653855773017576,1.580073660239002e-06,0.4529098486856446,1.6897746188996713e-06,0.4334789044182019,1.7222721098726675e-06
2025-10-28,2.214364073421434e-06,0.4926232339352746,2.251193700501313e-06,0.48379039007715136,2.2911968306465605e-06,0.48034043586323466,2.252680682354152e-06,0.4826779601920969,2.2618252195773586e-06,0.4834237991032378,2.3467379617034374e-06,0.4687225089628548,2.477993529160411e-06
2025-10-29,2.8908101322246605e-06,0.520267090253003,2.9716043260276902e-06,0.5124837458006166,3.0056090059490958e-06,0.5075080578656223,2.957208990397976e-06,0.5220206750204827,2.9905253030927217e-06,0.49199447672722285,3.0745297866468628e-06,0.49200575488730885,3.3500949609083533e-06
2025-10-30,4.3379512244730695e-06,0.3013946930248543,4.356586650222366e-06,0.3031955090673552,4.595324868656903e-06,0.3042669575398499,3.963833134723437e-06,0.3116831632753351,3.7001977506231463e-06,0.3160372444344099,3.896709873694373e-06,0.3124766080954078,4.000608631016377e-06
2025-10-31,3.92015207177993e-06,0.26624739249822027,3.852024034291525e-06,0.26175574981056204,3.936684863576919e-06,0.25912320100911096,3.4771796807406836e-06,0.2561141094706806,3.3933649504261987e-06,0.2528993043667312,3.526618215223135e-06,0.25661611774563925,3.3895739592559846e-06
2025-11-03,3.1840140269631415e-06,0.32202690812510765,3.0495601306317807e-06,0.3159607176791889,3.0857892772574143e-06,0.31692635305555966,2.7671359975153143e-06,0.32220551602190023,2.7053845033060256e-06,0.3188228829810233,2.7387889231312445e-06,0.31271047129970675,2.8590648561819764e-06
2025-11-04,2.872479018785215e-06,0.2712852422211589,2.823798544100913e-06,0.26967994468910444,2.8935251508404183e-06,0.26773991002401826,2.6789593012078608e-06,0.28204838818188777,2.597038035099713e-06,0.2824277990145307,2.613614888829408e-06,0.27632141082547435,2.740283936955793e-06
2025-11-05,2.5748088459160747e-06,0.502120905683013,2.6386695301563932e-06,0.5006547407867152,2.6892548959067824e-06,0.5084151185989669,2.384969436491806e-06,0.4942645024024608,2.370503435006637e-06,0.49443277877618325,2.354779483723461e-06,0.5110670386013502,2.4413802189630863e-06
